obs_ID,study_ID,year_pub,C_mean,C_sd,C_n,T_mean,T_sd,T_n
obs001,Aigner & Woerly,2011,0.095172414,0.15266168,10,-0.430344828,0.157023442,10
obs002,Aigner & Woerly,2011,0.095172414,0.15266168,10,-0.35862069,0.129537731,20
obs003,Allen et al. ,2005,52.80991736,11.90082645,9,12.89256198,6.446280992,9
obs004,Allen et al. ,2005,52.80991736,11.90082645,9,14.87603306,4.462809917,9
obs005,Allen et al. ,2005,56.94214876,11.15702479,9,41.73553719,12.14876033,9
obs006,Allen et al. ,2005,56.94214876,11.15702479,9,41.40495868,9.421487603,9
obs007,Andreu et al.,2010,,,,,,
obs008,Butler and Wacker,2010,45.09285185,15.49740588,20,12.02472782,8.959912023,32
obs009,Cipollini et al.,2009,,,,,,
obs010,Cipollini et al.,2009,,,,,,
obs011,Cox and Allen ,2008,31.87692522,4.221448534,5,14.04778894,2.111502558,5
obs012,Cox and Allen ,2008,31.87692522,4.221448534,5,19.46363621,4.749907891,5
obs013,Cox and Allen ,2008,31.87692522,4.221448534,5,23.34557352,2.3745648,5
obs014,DiTomaso et al. ,2006,73.8,63.158,3,2.4,55.578,3
obs015,DiTomaso et al. ,2006,73.8,63.158,3,0,55.578,3
obs016,DiTomaso et al. ,2006,73.8,63.158,3,60.7,55.578,3
obs017,Enloe et al. ,2005,40.30395137,6.079027356,4,1.276595745,0.85106383,4
obs018,Enloe et al. ,2005,40.30395137,6.079027356,4,1.641337386,0.972644377,4
obs019,Enloe et al. ,2005,40.30395137,6.079027356,4,35.68389058,6.32218845,4
obs020,Erskine Ogden and Rejmanek ,2005,38.83333333,10.33673413,5,2.054996039,7.07102032,10
obs021,Firn et al.,2010,42.42105263,31.57894737,16,5.894736842,3.789473684,16
obs022,Firn et al.,2010,42.42105263,31.57894737,16,36.31578947,27.78947368,16
obs023,Gonzales and Clements ,2010,0.246540881,0.171786786,14,0.153459119,0.145901106,14
obs024,Harms and Hiebert ,2006,61.2,30.6740933,10,14,17.7087549,10
obs025,Harms and Hiebert ,2006,61.2,30.6740933,10,12.2,15.49516053,10
obs026,Hendrickson and Lund ,2010,-2.1,24.03331022,10,-13.9,61.34818661,10
obs027,Hendrickson and Lund ,2010,-2.1,24.03331022,10,0.8,14.862705,10
obs028,Hulet et al. ,2010,14.24528302,1.797411215,3,3.91509434,0.776154843,3
obs029,Hulet et al. ,2010,14.24528302,1.797411215,3,11.08490566,2.083363,3
obs030,Hulet et al. ,2010,6.41509434,1.021256372,3,3.372641509,0.939555863,3
obs031,Hulet et al. ,2010,6.41509434,1.021256372,3,7.995283019,1.470609176,3
obs032,Kyser and DiTomaso ,2002,29,5.6,3,0.7,0.8,3
obs033,Kyser and DiTomaso ,2002,31.5,13.6,3,3.9,3.5,3
obs034,Laufenberg et al. ,2005,125.8078846,66.46318771,24,17.03844945,38.38015065,24
obs035,Loh and Daehler ,2008,,,,,,
obs036,Magnoli et al.,2013,,,,,,
obs037,Marushia et al. ,2010,64.89104116,14.76227323,12,1.743341404,4.697086936,12
obs038,Marushia et al. ,2010,64.89104116,14.76227323,12,0.0968523,4.361580726,12
obs039,Marushia et al. ,2010,50.26634383,19.79486637,12,27.31234867,18.45284153,12
obs040,Marushia et al. ,2010,50.26634383,19.79486637,12,46.00484262,18.11733532,12
obs041,Mckell et al. ,1962,53,63.158,4,1,55.578,4
obs042,Olson & Wallander,1998,131.9939201,25.47469332,6,167.0360647,25.47469332,6
obs043,Olson et al. ,1997,191.5734819,23.95090252,3,71.79514272,23.95090252,3
obs044,Ortega and Pearson ,2010,35.9697733,4.0302267,4,7.052896725,3.62720403,4
obs045,Pavlovic et al. ,2009,17.80333442,11.57534297,10,2.761778728,3.788058477,10
obs046,Pokorny et al. ,2010,36.5732199,21.47821286,24,12.17391304,14.07608696,24
obs047,Pokorny et al. ,2010,36.5732199,21.47821286,24,6.491443304,7.955026547,24
obs048,Rinella et al. ,2009,,,,,,
obs049,Rinella et al. ,2009,,,,,,
obs050,Ruwanza et al.,2013,65.33,2.44,3,4.8,2.44,3
obs051,Saito & Tsuyuzaki,2012,95,6.1,5,46,20.7,5
obs052,Sheley et al.,2006,182.0580475,60.3247247,12,54.22163588,27.42032941,12
obs053,Sher et al. ,2008,,,,,,
obs054,Sher et al. ,2008,,,,,,
obs055,Simmons et al. ,2007,29.33333333,20.86996779,5,-29.09090909,31.16943241,5
obs056,Simmons et al. ,2007,29.33333333,20.86996779,5,9.212121212,27.64593136,5
obs057,Simmons et al. ,2007,29.33333333,20.86996779,5,-14.18181818,20.59892925,5
obs058,Skurski et al.,2013,12.46255733,9.047414443,18,0.785588752,2.108135404,18
obs059,Skurski et al.,2013,12.46255733,9.047414443,18,4.760726992,4.391948759,18
obs060,Stanley et al.,2011,16.29581152,11.92062783,40,2.787958115,3.22850337,40
obs061,Stanley et al.,2011,16.29581152,11.92062783,40,13.7434555,10.30637614,40
obs062,Stocker et al. ,2008,78.38150289,63.158,6,0.346820809,55.578,6
obs063,Stocker et al. ,2008,78.38150289,63.158,6,0.346820809,55.578,6
obs064,Swab et al.,2008,26,63.158,29,25,55.578,31
obs065,Symstad ,2004,82.50055081,11.99678433,10,0.43125101,12.68329692,10
obs066,Tyser et al. ,1998,21.61835914,19.67612442,10,4.718728138,5.855989412,10
obs067,Tyser et al. ,1998,21.61835914,19.67612442,10,2.799961592,3.045114494,10
obs068,Wilson et al.,2008,68.6,14.91606144,10,3.1,2.282785822,10
