obs_ID,study_ID,year_pub,C_mean,T_mean,T_sd,C_sd,T_n,C_n
obs471,Sommer&Pearman,1994,94.8,2.89,8.05,34.9,80,93
obs472,Fairbanks et al 2011,2011,66.91,15.3583658,10.87158567,52.78,226,226
obs473,Shama et al,2014,15.26325,1.213489,1.228849,15.44623,83,77
obs474,Shama et al,2014,16.69164,1.601236,1.462111,15.47859,71,55
obs475,Shama et al,2014,15.726,1.519346,1.18662,15.85014,80,71
obs476,Shama et al,2014,16.69262,1.319338,1.329234,16.2475,42,44
obs477,Shama et al,2014,20.45349,1.324376,1.232728,21.70316,83,76
obs478,Shama et al,2014,21.84509,1.62187,1.574181,22.11478,53,69
obs479,Shama et al,2014,20.38025,1.907232,1.595652,22.80543,79,70
obs480,Shama et al,2014,21.98095,2.095448,1.679873,22.74524,42,42
obs481,Clark et al ,2014,9.46,0.49,0.57,9.7,112,112
obs482,Clark et al ,2014,9.42,0.49,0.5,9.7,112,112
obs483,Clark et al ,2014,80.61,4.68,8.91,71.16,112,112
obs484,Clark et al ,2014,77.54,4.68,11.03,71.16,112,112
obs485,Clark et al ,2014,9.64,0.47,0.48,9.83,112,112
obs486,Clark et al ,2014,9.59,0.47,0.53,9.83,112,112
obs487,Clark et al ,2014,75.34,4.12,5.7,70.69,112,112
obs488,Clark et al ,2014,75.26,4.12,8.96,70.69,112,112
obs489,Clark et al ,2014,9.61,0.53,0.49,9.84,112,112
obs490,Clark et al ,2014,9.14,0.53,0.54,9.84,112,112
obs491,Clark et al ,2014,76.99,4.34,5.79,70.61,112,112
obs492,Clark et al ,2014,82.9,4.34,9.83,70.61,112,112
obs493,Clark et al ,2014,9.71,0.55,0.51,9.86,112,112
obs494,Clark et al ,2014,9.22,0.55,0.52,9.86,112,112
obs495,Clark et al ,2014,73.45,4.83,5.96,70.22,112,112
obs496,Clark et al ,2014,76.9,4.83,10.01,70.22,112,112
obs497,Charmantier et al ,2004,15.85,0.6,0.65,16.02,1058,398
obs498,Ernande et al,2004,1.19873,1.206772555,0.810246876,3.50759,3000,3000
obs499,Dupont-Nivet et al,2008,358.5,139.4,71.7,516.6,491,629
obs500,Dupont-Nivet et al,2008,26.4,2.9,1.7,28.2,491,629
obs501,Dupont-Nivet et al,2008,1.93,0.32,0.13,2.25,491,629
obs502,Bentsen et al ,2012,69,25.3,18.13,77.75,2579,2585
obs503,Khaw et al,2012,146.5,104.2,77.8,222.9,5086,4979
obs504,Khaw et al,2012,15.6,3.2,2.8,17.9,5086,4979
obs505,Khaw et al,2012,6.5,1.5,1.3,7.5,5086,4979
obs506,Khaw et al,2012,2.8,0.69,0.61,3.4,5086,4979
obs507,Guan et al,2016,253.21,74.15,96.22,205.97,2125,2925
obs508,Guan et al,2016,17.53,2.24,2.28,17.23,2125,2925
obs509,Guan et al,2016,4,0.57,0.69,3.88,2125,2925
obs510,Sae-Lim et al,2014,395.15,94.7,75.84,546.82,1893,2364
obs511,Sae-Lim et al,2014,524.28,94.7,105.17,546.82,2795,2364
obs512,Sae-Lim et al,2014,376.39,94.7,81.72,546.82,1819,2364
obs513,Sae-Lim et al,2014,1.73,0.18,0.16,2.07,1891,2364
obs514,Sae-Lim et al,2014,1.75,0.18,0.2,2.07,2790,2364
obs515,Sae-Lim et al,2014,1.43,0.18,0.19,2.07,1818,2364
obs516,Beacham,1987,127.45,1.72,3.68,76.15,74,100
obs517,Beacham,1987,196.1,1.54,6.03,124,74,100
obs518,Beacham,1987,18.9,0.74,1.45,21.15,748,1464
obs519,Beacham,1987,166.95,19.34,17.44,180.9,748,1464
obs520,Beacham,1987,110.4,15.63,13.75,107.05,748,1464
obs521,Beacham,1987,56.55,10.36,9.53,73.9,748,1464
obs522,Beacham,1987,30.1,1.27,1.58,31.6,783,1490
obs523,Beacham,1987,250.35,29.01,29.09,271.65,783,1490
obs524,Beacham,1987,30.85,11.1,11.09,27.5,783,1490
obs525,Beacham,1987,219.45,27.78,32.75,244.15,783,1490
obs526,Beacham,1987,47.25,1.72,1.44,76.15,100,100
obs527,Beacham,1987,81.75,1.54,1.63,124,96,100
obs528,Beacham,1987,19.95,0.74,0.81,21.15,1475,1464
obs529,Beacham,1987,163,19.34,22.66,180.9,1475,1464
obs530,Beacham,1987,108.55,15.63,12.57,107.05,1475,1464
obs531,Beacham,1987,54.45,10.36,18.04,73.9,1475,1464
obs532,Beacham,1987,29.9,1.27,1.01,31.6,920,1490
obs533,Beacham,1987,217.1,29.01,28.23,271.65,920,1490
obs534,Beacham,1987,31.45,11.1,13.12,27.5,920,1490
obs535,Beacham,1987,185.7,27.78,25.96,244.15,920,1490
obs536,Beacham,1987,151,2.29,4.56,70.3,98,100
obs537,Beacham,1987,246.1,3.45,5.22,118.4,98,100
obs538,Beacham,1987,21.25,1.11,1.11,22.1,1251,1386
obs539,Beacham,1987,244.7,32.52,32.23,258.9,1251,1386
obs540,Beacham,1987,159.1,24.61,27.67,161.6,1251,1386
obs541,Beacham,1987,85.55,17.62,16.68,97.3,1251,1386
obs542,Beacham,1987,33.7,1.27,1.46,34,1267,1392
obs543,Beacham,1987,357.3,44.54,46.86,379.3,1267,1392
obs544,Beacham,1987,40.55,15.46,17.42,43.25,1267,1392
obs545,Beacham,1987,316.75,39.61,40.14,336,1267,1392
obs546,Beacham,1987,39,2.29,0.89,70.3,98,100
obs547,Beacham,1987,74.85,3.45,2.55,118.4,98,100
obs548,Beacham,1987,21.05,1.12,0.83,22.1,1371,1386
obs549,Beacham,1987,245.1,32.52,30.68,258.9,1371,1386
obs550,Beacham,1987,167.35,24.61,25.15,161.6,1371,1386
obs551,Beacham,1987,77.7,17.62,11.2,97.3,1371,1386
obs552,Beacham,1987,32.15,1.28,2.06,34,1322,1392
obs553,Beacham,1987,319.65,44.54,54.62,379.3,1322,1392
obs554,Beacham,1987,42.9,15.46,17.12,43.25,1322,1392
obs555,Beacham,1987,276.8,39.61,55.02,336,1322,1392
obs556,Schade et al,2014,37.24051,3.42,3.61,37.60526,105,105
obs557,Schade et al,2014,0.4006962,0.13,0.13,0.4155263,105,105
obs558,Schade et al,2014,0.7538228,0.11,0.09,0.7656316,105,105
obs559,Schade et al,2014,37.06832,3.58,4.07,37.17687,105,105
obs560,Schade et al,2014,0.373354,0.12,0.13,0.3885714,105,105
obs561,Schade et al,2014,0.7118323,0.11,0.1,0.7401156,105,105
obs562,Keena et al,1998,2.99,,,3.8,1512,1521
obs563,Keena et al,1998,3,,,3.83,1551,1547
obs564,Keena et al,1998,1.47,,,2.87,1369,1298
obs565,Keena et al,1998,1.87,,,3.18,1463,1464
obs566,Santana et al,2014,30.07,4.91,4.36,32.51,67818.8,63224.59
obs567,Santana et al,2014,182.54,35.67,33.59,205.88,70378.62,69839.01
obs568,Evans et al,2015,12.53,0.57,0.71,14.38,204,204
obs569,Evans et al,2015,0.24,1.14,5,6.69,204,204
obs570,Evans et al,2015,0.34,0.86,1.57,1.21,204,204
obs571,Evans et al,2015,2.49,1.14,1.29,4.59,204,204
obs572,Evans et al,2015,2.9,1.71,3,7.9,204,204
obs573,Evans et al,2015,2.36,1.29,1.43,4.42,204,204
obs574,Evans et al,2015,1.41,0.86,1.71,3.5,204,204
obs575,Evans et al,2015,63.28,13.43,13,82.15,204,204
obs576,Evans et al,2015,0.62,0.14,0.14,0.75,204,204
obs577,Evans et al,2015,2.06,1.29,2.43,3.79,204,204
obs578,Evans et al,2015,3.97,0.14,0.13,3.96,204,204
obs579,Evans et al,2015,2.38,0.29,0.29,2.88,204,204
obs580,Evans et al,2015,48.28,1.14,1.14,47.47,204,204
obs581,Evans et al,2015,54.63,1.29,1.14,54.31,204,204
obs582,Nystrand et al ,2011,6.632,0.209,0.301,6.376,171,333
obs583,Nystrand et al ,2011,0.643,0.052,0.092,0.683,171,331
obs584,Nystrand et al ,2011,0.031,0.004,0.005,0.032,171,332
obs585,Nystrand et al ,2011,5.952,0.19,0.322,6.061,214,352
obs586,Nystrand et al ,2011,0.642,0.073,0.102,0.727,214,352
obs587,Nystrand et al ,2011,0.092,0.029,0.029,0.137,213,350
obs588,Rauter&Moore,2002,157.815,,,304.097,637,648
obs589,Rauter&Moore,2002,322.307,,,377.542,2289,2165
obs590,Rauter&Moore,2002,302.883,,,352.049,1664,1643
obs591,Rauter&Moore,2002,5.70115,,,6.02299,661,668
obs592,Rauter&Moore,2002,22.8046,,,23.2644,636,639
obs593,Rauter&Moore,2002,36.6437,,,36.6437,649,647
obs594,Heerwarden&Sgro,2014,7.051724,2.287385329,0.707106781,10.99281,812,2025
obs595,Sousa et al,2012,199.7,35.79,36.89,188.33,2462,4253
obs596,McLaren et al,2012,3.64,0.7,0.76,3.95,7771,10688
obs597,McLaren et al,2012,18.01,3.45,4.08,16.95,7464,10876
obs598,McLaren et al,2012,26.82,5.18,4.66,28.09,7445,10662
obs599,McLaren et al,2012,0.16,0.11,0.09,0.17,7372,10277
obs600,McLaren et al,2012,2.01,0.25,0.26,2.02,7372,10277
obs601,McLaren et al,2012,16.57,2.28,2.57,18.68,2228,3164
obs602,McLaren et al,2012,10.15,1.46,1.64,11.12,2214,3090
obs603,McLaren et al,2012,2.54,0.6,0.61,3.07,2217,3110
obs604,Alcapan et al,2007,5.2,2.3,2.2,7.1,3196,3964
obs605,Alcapan et al,2007,8.3,3.3,2.5,11.6,2250,2397
obs606,Alcapan et al,2007,11.7,3.7,3.3,14.3,1632,1869
obs607,Alcapan et al,2007,15.2,5.3,4.1,22,1116,631
obs608,Alcapan et al,2007,37,5.2,5.3,42,3196,3964
obs609,Alcapan et al,2007,44.2,5.3,4.7,49.5,2250,2397
obs610,Alcapan et al,2007,49.3,5.2,4.6,53.4,1632,1869
obs611,Alcapan et al,2007,54.2,5.8,5.1,60.4,1116,631
obs612,Gebhardt-Henrich&Marks,1993,20.1,,,20.7,240,240
obs613,Gebhardt-Henrich&Marks,1993,6.1,,,6.3,240,240
obs614,Gebhardt-Henrich&Marks,1993,7.2,,,7.3,240,240
obs615,Edvardsson et al,2009,18.04633333,3.18,12.02,12.62881731,646,636
