obs_ID,study_ID,year_pub,C_mean,C_sd,C_n,T_mean,T_sd,T_n
obs001,Paper001,1993,0.836,,14,0.911,,14
obs002,Paper001,1993,0.836,,14,0.801,,14
obs003,Paper001,1993,0.893,,14,0.901,,14
obs004,Paper001,1993,0.893,,14,0.907,,14
obs005,Paper001,1993,22.7,15.34079529,14,17.5,4.677071733,14
obs006,Paper001,1993,22.7,15.34079529,14,11.68,15.26596214,14
obs007,Paper002,1993,63.6,12.7,40,13.5,6.6,40
obs008,Paper002,1993,55.9,10.9,36,14.5,3.6,39
obs009,Paper002,1993,62.6,8.7,39,13.4,2.5,38
obs010,Paper002,1993,59.5,15,40,12.6,2.4,40
obs011,Paper002,1993,64.5,8.5,40,11.8,4.7,40
obs012,Paper002,1993,70.8,8.8,37,15.2,3.5,40
obs013,Paper002,1993,70.2,16.4,38,18.7,4.8,39
obs014,Paper002,1993,70.7,9.7,38,16.3,4.9,39
obs015,Paper002,1993,62.4,13.7,40,12.9,5.6,40
obs016,Paper002,1993,61.9,10.1,36,9.9,4.8,37
obs017,Paper005,1947,1,,20,0.391,,64
obs018,Paper006,2012,104.8,67.42,13,91,64.54,13
obs019,Paper006,2012,178,13.7,13,168,7.93,13
obs020,Paper006,2012,645.3,565.35,13,221.8,178.11,13
obs021,Paper006,2012,35.7,27.76,13,19.8,15.5,13
obs022,Paper006,2012,53,20.91,13,51,20.91,13
obs023,Paper006,2012,6.3,6.13,13,3.1,2.16,13
obs024,Paper006,2012,104.8,67.42,13,80.1,69.98,11
obs025,Paper006,2012,178,13.7,13,174,18.9,11
obs026,Paper006,2012,645.3,565.35,13,415.1,562.83,11
obs027,Paper006,2012,35.7,27.76,13,26,32.83,11
obs028,Paper006,2012,53,20.91,13,61,19.9,11
obs029,Paper006,2012,6.3,6.13,13,4.5,5.97,11
obs030,Paper007,1989,28.6,9.11,40,18.1,4.92,36
obs031,Paper007,1989,21.6,7.27,40,32.6,8.22,36
obs032,Paper007,1989,1.95,0.7,40,1.29,7.74,36
obs033,Paper007,1989,28.6,9.11,40,4.6,1.98,36
obs034,Paper007,1989,21.6,7.27,40,79.3,22.62,36
obs035,Paper007,1989,1.95,0.7,40,0.31,0.6,36
obs036,Paper008,1993,11.2,,30,11.2,,30
obs037,Paper008,1993,39,,30,39,,30
obs038,Paper009,1982,0.879,,20,0.868,,20
obs039,Paper009,1982,0.961,,20,0.95,,20
obs040,Paper009,1982,0.0083,,20,0.0075,,20
obs041,Paper009,1982,0.879,,20,0.881,,20
obs042,Paper009,1982,0.961,,20,0.941,,20
obs043,Paper009,1982,0.0083,,20,0.0059,,20
obs044,Paper009,1982,0.879,,20,0.851,,20
obs045,Paper009,1982,0.961,,20,0.934,,20
obs046,Paper009,1982,0.0083,,20,0.006,,20
obs047,Paper010,2012,18.1,4.16,12,14.8,5.2,12
obs048,Paper010,2012,62.6,2.77,12,62.5,3.12,12
obs049,Paper010,2012,17.9,11.43,12,12.9,6.58,12
obs050,Paper010,2012,12.7,6.24,12,14.6,6.58,12
obs051,Paper010,2012,3,1.39,12,2.3,1.39,12
obs052,Paper010,2012,2.4,1.39,12,2,1.39,12
obs053,Paper011,2002,1154.206186,406.9942654,97,1170.548387,496.8961819,98
obs054,Paper011,2002,1154.206186,406.9942654,97,1107.397959,417.3187795,93
obs055,Paper011,2002,1154.206186,406.9942654,97,982.8736842,545.6771558,95
obs056,Paper011,2002,1154.206186,406.9942654,97,1078.40625,487.4681221,96
obs057,Paper011,2002,1154.206186,406.9942654,97,1083.393617,483.6350312,94
obs058,Paper011,2002,1154.206186,406.9942654,97,997.65625,485.4814394,96
obs059,Paper011,2002,1154.206186,406.9942654,97,755.1075269,491.2962327,93
obs060,Paper011,2002,1154.206186,406.9942654,97,735.8673469,454.7525585,99
obs061,Paper011,2002,1154.206186,406.9942654,97,293.5714286,306.094925,98
obs062,Paper011,2002,1154.206186,406.9942654,97,68.84848485,71.00766898,99
obs063,Paper011,2002,1154.206186,406.9942654,97,5.787878788,14.12356023,99
obs064,Paper012,1997,0.667,,15,0.6,,15
obs065,Paper012,1997,0.667,,15,0.533,,15
obs066,Paper012,1997,0.667,,15,0.267,,15
obs067,Paper013,2006,49.44,8.14,9,50.88,9.61,8
obs068,Paper013,2006,1.18,0.41,9,1.2,0.38,8
obs069,Paper013,2006,2,1.118,9,4.25,2.05,8
obs070,Paper013,2006,2.17,1.327,9,2.92,1,8
