obs_ID,study_ID,year_pub,C_mean,C_sd,C_n,T_mean,T_sd,T_n
obs001,Shuster et al.,2006,13.9405,14.5301,31,6.7249,13.5228,48
obs002,Shuster et al.,2006,0.1478,0.146,31,0.2164,0.2412,48
obs003,Shuster et al.,2006,12.8583,10.5014,17,6.7249,13.5228,48
obs004,Shuster et al.,2006,0.2673,0.3143,17,0.2164,0.2412,48
obs005,Schweitzer et al.,2008,33.8502,51.6059,16,12.9813,53.5932,31
obs006,Schweitzer et al.,2008,4.955,13.5868,16,0.9403,12.1781,31
obs007,Schweitzer et al.,2008,0.1703,0.1414,16,0.0932,0.1265,31
obs008,Schweitzer et al.,2008,0.4467,1.069,16,0.0988,0.9587,31
obs009,Schweitzer et al.,2008,22.2439,56.6409,15,12.9813,53.5932,31
obs010,Schweitzer et al.,2008,9.2278,10.9325,15,0.9403,12.1781,31
obs011,Schweitzer et al.,2008,0.3929,0.86,15,0.0988,0.9587,31
obs012,Schweitzer et al.,2008,0.0381,0.0898,15,0.0932,0.1265,31
obs013,Crutsinger et al.,2009,0.083,0.1052,35,0.3302,0.237,44
obs014,Lojewski et al.,2009,192.0428,297.4715,16,1171.3414,885.6976,31
obs015,Lojewski et al.,2009,611.9621,909.6396,15,1171.3414,885.6976,31
obs016,Schweitzer et al.,2011,33.702,39.2815,16,13.7906,35.3272,31
obs017,Schweitzer et al.,2011,35.9546,36.5338,16,9.4655,34.4548,31
obs018,Schweitzer et al.,2011,0.0885,0.1228,16,0.0254,0.1242,31
obs019,Schweitzer et al.,2011,1.894,2.6069,16,1.2689,2.6995,31
obs020,Schweitzer et al.,2011,11.7846,30.2636,15,13.7906,35.3272,31
obs021,Schweitzer et al.,2011,13.6491,32.8077,15,9.4655,34.4548,31
obs022,Schweitzer et al.,2011,0.0619,0.1285,15,0.0254,0.1242,31
obs023,Schweitzer et al.,2011,0.8016,2.7284,15,1.2689,2.6995,31
obs024,Genung et al.,2011,0.8867,3.24,9,2.33,3.2516,17
obs025,Lojewski et al.,2012,162.979,211.1637,16,513.9183,500.4764,31
obs026,Lojewski et al.,2012,145.3862,585.5832,15,513.9183,500.4764,31
obs027,McArt et al.,2012,2.7446,3.6,45,4.0922,4.51,65
obs028,Bowatte et al.,2013,0.0139,0.0275,36,0.0174,0.0321,72
obs029,Bowatte et al.,2013,0.0197,0.0344,36,0.0174,0.0321,72
obs030,Palkovacs et al.,2009,0.1049,0.1483,8,0.0829,0.2159,16
obs031,Palkovacs et al.,2009,0.0101,0.5669,8,0.0452,0.6596,16
obs032,Palkovacs et al.,2009,0.0729,0.2328,8,0.2184,0.1986,16
obs033,Palkovacs et al.,2009,0.0298,0.1244,8,0.0005,0.0981,16
obs034,Palkovacs et al.,2009,0.6748,0.4798,8,0.9609,0.4108,16
obs035,Palkovacs et al.,2009,0.0388,0.0632,8,0.06,0.0411,16
obs036,Palkovacs et al.,2009,0.2542,0.1917,8,0.0004,0.1672,16
obs037,Palkovacs et al.,2009,0.2528,0.1695,8,0.0419,0.1279,16
obs038,Bassar et al.,2010,0.14,0.4865,16,0.61,0.4967,26
obs039,Bassar et al.,2010,0.27,0.5544,16,0.765,0.5653,26
obs040,Bassar et al.,2010,0.27,0.5629,16,0.755,0.5742,26
obs041,Bassar et al.,2010,0.03,0.0396,16,0.015,0.0402,26
obs042,Bassar et al.,2010,0.16,0.1261,16,0.46,0.125,26
obs043,Bassar et al.,2010,84,212.132,16,113,202.4018,26
obs044,Bassar et al.,2010,0.36,0.3555,16,0.1,0.3372,26
obs045,Bassar et al.,2010,0.25,0.4991,16,0.165,0.4733,26
obs046,Bassar et al.,2010,0.11,0.7706,16,0.445,0.7296,26
obs047,Bassar et al.,2010,0.02,0.0933,16,0.03,0.0915,26
obs048,Bassar et al.,2010,1.63,1.4315,16,0.865,1.3563,26
obs049,Bassar et al.,2010,1.68,1.3731,16,0.9,1.3008,26
obs050,Bassar et al.,2010,0.81,0.4588,16,1.605,0.4562,26
obs051,Bassar et al.,2010,37.2,17.482,16,46.6,18.2502,26
obs052,Hargrave et al.,2011,0.0302,0.0246,12,0.0903,0.077,30
obs053,Hargrave et al.,2011,0.0412,0.0328,12,0.0903,0.077,30
obs054,Chislock et al.,2013,7.9,3.8771,7,3.95,3.7191,10
obs055,Chislock et al.,2013,144.9524,50.9964,7,72.4762,59.9517,10
obs056,Hazard et al.,2016,0.011,0.0181,24,0.0174,0.0221,29
obs057,Hazard et al.,2016,0.0052,0.0086,24,0.0107,0.0092,29
obs058,Hazard et al.,2016,0.2878,0.3039,24,0.2378,0.2892,29
obs059,Hazard et al.,2016,0.2924,0.2976,24,0.2479,0.282,29
obs060,Hazard et al.,2016,1.2794,1.377,24,0.7225,1.2916,29
obs061,Hazard et al.,2016,1.6317,1.6516,24,1.1268,1.5366,29
obs062,Hazard et al.,2016,0.41,0.4476,24,0.5963,0.4662,29
obs063,Hazard et al.,2016,7.7661,13.5707,24,34.1688,18.1072,29
obs064,Hazard et al.,2016,1.2361,1.9292,24,3.7008,2.2686,29
obs065,Hazard et al.,2016,32.6806,54.1641,24,39.2725,52.0007,29
obs066,Hazard et al.,2016,15.9056,49.7139,24,74.6533,53.9543,29
obs067,Hazard et al.,2016,0.4278,1.4231,24,5.2717,2.4382,29
obs068,Hazard et al.,2016,2.1764,3.2172,24,2.3133,3.087,29
obs069,Hazard et al.,2016,2.0758,3.3439,24,10.7804,5.3535,29
obs070,Post et al.,2008,0.0766,0.0898,9,1.2359,0.6956,17
obs071,Post et al.,2008,0.5,0.4278,9,0.25,0.4004,17
obs072,Post et al.,2008,0.4755,0.3643,9,0.6152,0.4552,17
obs073,Post et al.,2008,0.151,0.2536,9,0.0755,0.2339,17
