obs_ID,study_ID,year_pub,C_mean,C_sd,C_n,T_mean,T_sd,T_n
obs001,Andresen et al 1990,1990,,,,,,
obs002,Andresen et al 1990,1990,,,,,,
obs003,Andresen et al 1990,1990,,,,,,
obs004,Andresen et al 1990,1990,,,,,,
obs005,Andresen et al 1990,1990,,,,,,
obs006,Andresen et al 1990,1990,,,,,,
obs007,Andresen et al 1990,1990,26.5,,,11.8,,
obs008,Andresen et al 1990,1990,26.5,,,16.8,,
obs009,Andresen et al 1990,1990,26.5,,,25.1,,
obs010,Andresen et al 1990,1990,24,,,18,,
obs011,Andresen et al 1990,1990,24,,,15,,
obs012,Andresen et al 1990,1990,24,,,17,,
obs013,Andresen et al 1990,1990,,,,,,
obs014,Andresen et al 1990,1990,,,,,,
obs015,Andresen et al 1990,1990,,,,,,
obs016,Andresen et al 1990,1990,,,,,,
obs017,Andresen et al 1990,1990,,,,,,
obs018,Andresen et al 1990,1990,,,,,,
obs019,Armonies 1986,1986,,,,,,
obs020,Armonies 1986,1986,806,543,10,532,321,30
obs021,Armonies 1986,1986,116,49,10,146,63,30
obs022,Armonies 1986,1986,146,60,10,57,28,30
obs023,Armonies 1986,1986,1238,551,10,774,397,30
obs024,Armonies 1986,1986,170,64,10,37,20,30
obs025,Armonies 1986,1986,24.3,,10,11.8,,30
obs026,Aydin 2011,2011,8.75,2.97,8,5.25,3.08,12
obs027,Bakker & Ruyter 1981,1981,100,,,99.6,,
obs028,Bakker  1985,1985,,,,,,
obs029,Bakker  1985,1985,32.8,14.3,5,7,3.9,5
obs030,Bakker et al 1985,1985,,,,,,
obs031,Bakker et al 1985,1985,,,,,,
obs032,Bakker et al 1985,1985,21,,,21,,
obs033,Bakker et al 1985,1985,82.8,12.2,4,57,30.4,4
obs034,Bakker et al 1985,1985,,,,,,
obs035,Bakker et al 1985,1985,6.55,4.85,4,0.93,0.65,4
obs036,Bakker et al 1985,1985,,,,,,
obs037,Bakker et al 2003,2003,,,,,,
obs038,Bakker et al 2003,2003,34.4,7.4,8,40.6,4,8
obs039,Berg et al 1997,1997,2.1,0.89,80,3.8,0.89,80
