obs_ID,study_ID,year_pub,C_mean,C_sd,C_n,T_mean,T_sd,T_n
obs001,Schmiede et al,2012,8.8,6.610597552,5,1.7,1.82878223,10
obs002,Schmiede et al,2012,7.2,4.086563348,5,1.7,1.82878223,10
obs003,Schmiede et al,2012,0.2,0.447213595,5,1.7,1.82878223,10
obs004,Schmiede et al,2012,7,6.557438524,5,1.7,1.82878223,10
obs005,Schmiede et al,2012,2.2,2.28035085,5,1.7,1.82878223,10
obs006,Schmiede et al,2012,4.6,2.073644135,5,0.5,0.971825316,10
obs007,Schmiede et al,2012,5.8,5.118593557,5,0.5,0.971825316,10
obs008,Schmiede et al,2012,5.2,5.357238094,5,0.5,0.971825316,10
obs009,Schmiede et al,2012,2.8,2.588435821,5,0.5,0.971825316,10
obs010,Schmiede et al,2012,3.4,2.607680962,5,0.4,0.966091783,10
obs011,Schmiede et al,2012,2.2,1.095445115,5,0.4,0.966091783,10
obs012,Schmiede et al,2012,1,1.414213562,5,0.4,0.966091783,10
obs013,Schmiede et al,2012,2.2,0.447213595,5,0.4,0.966091783,10
obs014,Schmiede et al,2012,2.4,2.073644135,5,0.4,0.966091783,10
obs015,Schmiede et al,2012,15,4.636809248,5,6.2,2.529822128,10
obs016,Schmiede et al,2012,6.6,5.983310121,5,6.2,2.529822128,10
obs017,Schmiede et al,2012,0.8,1.095445115,5,6.2,2.529822128,10
obs018,Schmiede et al,2012,5,4.242640687,5,6.2,2.529822128,10
obs019,Schmiede et al,2012,2.6,2.701851217,5,6.2,2.529822128,10
obs020,Schmiede et al,2012,0.8,1.303840481,5,6.2,2.529822128,10
obs021,Schmiede et al,2012,6.8,3.033150178,5,8.2,4.848825746,10
obs022,Schmiede et al,2012,5,2.645751311,5,8.2,4.848825746,10
obs023,Schmiede et al,2012,1.4,1.516575089,5,8.2,4.848825746,10
obs024,Schmiede et al,2012,4.2,1.923538406,5,8.2,4.848825746,10
obs025,Schmiede et al,2012,3,2.121320344,5,8.2,4.848825746,10
obs026,Schmiede et al,2012,0.6,0.894427191,5,8.2,4.848825746,10
obs027,Schmiede et al,2012,9.4,6.024948133,5,8.5,4.719934086,10
obs028,Schmiede et al,2012,5.4,5.272570531,5,8.5,4.719934086,10
obs029,Schmiede et al,2012,0.2,0.447213595,5,8.5,4.719934086,10
obs030,Schmiede et al,2012,6.6,3.646916506,5,8.5,4.719934086,10
obs031,Schmiede et al,2012,2,2.828427125,5,8.5,4.719934086,10
obs032,Schmiede et al,2012,5.8,5.263078947,5,4.5,2.953340858,10
obs033,Schmiede et al,2012,1.8,1.303840481,5,4.5,2.953340858,10
obs034,Schmiede et al,2012,0.2,0.447213595,5,4.5,2.953340858,10
