obs_ID,study_ID,year_pub,C_n,T_n,C_mean,T_mean,C_sd,T_sd
obs001,Bibby,2007,40,40,0.00001847,0.005,0.008,0.014
obs002,Bibby,2007,40,40,0.05,0.002,0.058,0.012
obs003,Bibby,2007,40,40,0.04,0.048,0.045,0.051
obs004,Bibby,2007,40,40,0.047,0.028,0.049,0.029
obs005,Bibby,2007,40,40,12.692,7.627,16.549,10.743
obs006,Bibby,2007,40,40,2.156,17.498,4.031,20.482
obs007,BehrensYamada,1987,21,11,1.77,1.12,0.65,0.48
obs008,BehrensYamada,1987,47,20,0.65,0.17,0.47,0.34
obs009,BehrensYamada,1998,30,30,0.887172195,0.782441832,5.706,4.8908
obs010,BehrensYamada,1998,30,30,0.895962415,0.138916815,5.7063,0.8095
obs011,BehrensYamada,1998,30,30,1.228514145,1.291550174,6.8749,7.3895
obs012,BehrensYamada,1998,30,30,1.228430562,0.215215041,6.8749,1.373
obs013,BehrensYamada,1998,30,30,1.044267846,1.005902935,6.035,5.6068
obs014,BehrensYamada,1998,30,30,1.044393221,0.185654359,6.035,1.1143
obs015,BrookesRochette,2007,4,4,0.855,0.778,0.112,0.192
obs016,BrookesRochette,2007,4,4,0.00975,0.0186,0.0028,0.00434
obs017,BrookesRochette,2007,4,4,0.00314,0.001408,0.006778,0.003484
obs018,Dalziel,2005,90,90,-0.1198,-0.0315,0.4298,0.426
obs019,Dalziel,2005,90,90,0.02219,-0.0217,0.4231,0.4222
obs020,Doyle,2010,4,4,2.202,3.296,4.622,6.798
obs021,Doyle,2010,4,4,0.076,0.12,0.162,0.25
obs022,Etter,1996,10,10,6.100001202,9.49247846,3.102296343,3.102296343
obs023,Etter,1996,10,10,13.80423349,5.972425229,6.257355986,6.257355986
obs024,FreemanHamer,2009,6,6,31.85,28.864,88.45842308,83.03525279
obs025,FreemanHamer,2009,6,6,31.85,29.976,88.45842308,85.01688999
obs026,FreemanHamer,2009,6,6,31.85,23.079,88.45842308,67.63531078
obs027,FreemanHamer,2009,6,6,59.247,33.464,158.2639818,93.98692143
obs028,FreemanHamer,2009,6,6,59.247,41.682,158.2639818,116.0837684
obs029,FreemanHamer,2009,6,6,59.247,46.877,158.2639818,127.4396028
obs030,FreemanHamer,2009,6,6,21.47,7.79,63.75286954,30.00624935
obs031,FreemanHamer,2009,6,6,39.435,25.755,107.6036349,74.04317594
obs032,Gibbs,1993,600,600,29.93,30.01,1.17,1.54
obs033,Gibbs,1993,600,600,18.73,18.71,0.89,1.12
obs034,Gibbs,1993,600,600,0.93,1.19,0.17,0.23
obs035,Gibbs,1993,600,600,6.2,5.39,0.78,1.07
obs036,Gibbs,1993,600,600,10.12,10.28,0.78,0.65
obs037,Hoffman,2010,384,384,3.028349624,3.116662021,0.48934168,0.527820244
obs038,Hoffman,2010,384,384,0.521621725,0.521916302,0.235135627,0.225212031
obs039,Hoffman,2010,384,384,1.965896552,1.686604811,0.793049146,0.689227122
obs040,Hoffman,2010,384,384,2.70285,2.72046831,0.524757657,0.508416004
obs041,Hoffman,2010,384,384,0.297319019,0.234332106,0.146093858,0.118438804
obs042,Hollander,2006,76,89,5.536270061,5.498543937,1.281321492,0.777584213
obs043,Hollander,2006,76,89,13.77914585,13.63764283,3.295548723,1.961846963
obs044,Hollander,2006,76,89,129.0148295,114.3600979,94.4334815,49.19481008
obs045,Hollander,2006,76,85,5.536270061,4.982707485,1.281321492,1.820799478
obs046,Hollander,2006,76,85,13.77914585,12.2865924,3.295548723,4.428313925
obs047,Hollander,2006,76,85,129.0148295,110.8327419,94.4334815,96.56042312
obs048,Hollander,2006,76,73,5.536270061,5.855050924,1.281321492,1.465825223
obs049,Hollander,2006,76,73,13.77914585,14.51403722,3.295548723,3.415265759
obs050,Hollander,2006,76,73,129.0148295,154.13778,94.4334815,118.7674231
obs051,Hollander,2006,90,90,6.908247062,6.922642484,1.066020568,0.981612121
obs052,Hollander,2006,90,90,16.77764672,16.95774011,2.599255773,2.540293123
obs053,Hollander,2006,90,90,224.0295537,225.796935,105.2332147,106.5500346
obs054,Hollander,2006,90,90,6.908247062,7.143459069,1.066020568,1.200516843
obs055,Hollander,2006,90,90,16.77764672,17.48601762,2.599255773,2.930683305
obs056,Hollander,2006,90,90,224.0295537,252.7715924,105.2332147,129.8419983
obs057,Hollander,2006,90,90,6.908247062,6.793289793,1.066020568,0.991880789
obs058,Hollander,2006,90,90,16.77764672,16.49681278,2.599255773,2.517127504
obs059,Hollander,2006,90,90,224.0295537,212.4742769,105.2332147,104.0744231
obs060,Hollander,2006,90,88,5.817488215,5.457139495,1.578275434,1.2720079
obs061,Hollander,2006,90,88,14.45919991,13.59246999,3.469753578,2.905756664
obs062,Hollander,2006,90,88,155.113967,123.0424568,129.5555128,94.4973885
obs063,Hollander,2006,90,90,5.817488215,5.470049308,1.578275434,1.618519138
obs064,Hollander,2006,90,90,14.45919991,13.54172029,3.469753578,3.637632521
obs065,Hollander,2006,90,90,155.113967,134.2923964,129.5555128,135.7166822
obs066,Hollander,2006,90,90,5.817488215,6.102767226,1.578275434,1.373150471
obs067,Hollander,2006,90,90,14.45919991,15.4634964,3.469753578,3.271165059
obs068,Hollander,2006,90,90,155.113967,172.8737855,129.5555128,115.583196
obs069,HollanderButlin,2010,40,41,0.061300925,0.113621927,0.014109275,0.017211613
obs070,HollanderButlin,2010,40,18,0.061300925,0.116030889,0.014109275,0.028600421
obs071,HollanderButlin,2010,113,123,0.00662015,0.033196358,0.004860981,0.009609563
obs072,HollanderButlin,2010,113,52,0.00662015,0.083997327,0.004860981,0.01304849
obs073,Irie,2006,19,19,9.984252276,6.456696544,45.0305,28.7619
obs074,Irie,2006,19,19,1.066141754,1.180577594,4.7525,5.2558
obs075,IrieFisher,2009,239,188,12.95130938,13.230028,1.345296108,0.798212397
obs076,JohnsonBlack,1998,379,62,5.87,10.98,1.23,1.1
obs077,JohnsonBlack,1998,488,147,4.66,7.87,1.14,0.89
obs078,JohnsonBlack,2008,951,361,1.42,0.5,0.925148637,0.76
obs079,Kurihara,2006,7,8,0.028,0.034,0.04,0.047
obs080,Kurihara,2006,15,8,0.034,0.061,0.054,0.085
obs081,Kurihara,2006,19,19,0.088,0.074,0.026153394,0.017435596
obs082,LeeBoulding,2010,10,18,36.1,38.2,1,1.4
obs083,Manriques,2009,12,12,35.306,167.943,37.977,179.17
obs084,Melatunan,2013,64,64,1.91,1.64,0.29,0.26
obs085,Melatunan,2013,64,64,1.91,1.81,0.29,0.26
obs086,Melatunan,2013,64,64,15.84,14.91,0.95,0.87
obs087,Melatunan,2013,64,64,15.84,15.44,0.95,0.85
obs088,Melatunan,2013,64,64,13.57,12.77,0.83,0.78
obs089,Melatunan,2013,64,64,13.57,13.32,0.83,0.77
obs090,Melatunan,2013,64,64,1.88,1.83,0.23,0.17
obs091,Melatunan,2013,64,64,1.88,1.68,0.23,0.22
obs092,Melatunan,2013,64,64,8.99,8.84,0.62,0.54
obs093,Melatunan,2013,64,64,8.99,8.79,0.62,0.66
obs094,Melatunan,2013,64,64,9.35,8.77,0.8,0.69
obs095,Melatunan,2013,64,64,9.35,7.5,0.8,0.75
obs096,MoodyAronson,2012,6,6,0.897,0.583,0.929,0.621
obs097,Morley,2010,20,20,8.789,6.494,9.004,6.68
obs098,Morley,2010,20,20,0.829,0.252,0.885,0.286
obs099,Pardo,2005,200,200,0.896970362,1.333333712,7.4996,10.6887
obs100,Pardo,2005,200,200,0.060607385,0,1.8595,0
obs101,Pardo,2005,200,200,1.000000589,1.696969909,7.5425,13.0046
obs102,Pardo,2005,200,200,0.236364856,0,2.313,0
obs103,Parsons,1997,115,82,0.621,0.675,0.032171416,0.027166155
obs104,Parsons,1997,379,63,0.778,0.749,0.038935845,0.03968627
obs105,Parsons,1997,14,43,1.758,2.763,0.347974137,0.675416168
obs106,Parsons,1997,68,42,1.951,3.249,0.973052928,1.088764437
obs107,Pascoal,2012,46,139,1.915,3.348,14.2293283,41.14649317
obs108,Pascoal,2012,106,94,4.467,4.878,47.823202,49.15547375
obs109,Pascoal,2012,12,127,17.937,25.484,64.56739,291.7316741
obs110,Pascoal,2012,114,123,20.242,28.352,218.5704689,318.7420192
obs111,Pernet,2007,11,11,45.792,48.465,157.765208,164.5908218
obs112,Prowse,2005,20,28,-0.25951406,0.059770525,0.339982819,0.307565087
obs113,Prowse,2005,20,28,0.198000463,0.43705038,0.253539774,0.285701391
obs114,Prowse,2005,19,20,-0.353650236,-0.436570896,0.266592973,0.182107501
obs115,Prowse,2005,19,20,-0.181353281,-0.373388505,0.296068313,0.150570259
obs116,Ridgway,1999,26,16,53.32,61,3.824264635,8.4
obs117,Ridgway,1999,26,16,44.31,49.46,4.181196001,6.24
