obs_ID,study_ID,year_pub,C_n,T_n,C_mean,T_mean,C_sd,T_sd
obs118,Rochette,2007,38,38,1.094496183,0.928351351,0.257602344,0.218722649
obs119,Rochette,2007,38,38,0.186602371,0.185277853,0.218311983,0.194110377
obs120,Rochette,2007,38,38,10.84432313,11.63575097,4.76506224,4.857086429
obs121,Rochette,2007,38,38,8.497305344,8.073189189,2.547741029,2.158748409
obs122,Rolan,2004,10,10,25.01,25.15,1.0805,1.2854
obs123,Sepulveda,2012,3,3,0.255875941,0.282095129,0.142255881,0.1543888
obs124,Sepulveda,2012,3,3,0.136587261,0.124193358,0.172420144,0.180811943
obs125,Sepulveda,2012,3,3,0.654302358,0.639615383,0.330678401,0.319212243
obs126,Trussell,1997,4,4,-0.226220744,-0.232802721,0.209359332,0.161704284
obs127,Trussell,1997,4,4,-0.321882646,-0.179394905,0.42432478,0.299290668
obs128,Trussell,1996,50,50,0.978677798,0.943401159,0.226627672,0.19648008
obs129,Trussell,1996,50,50,7.650197095,7.926835621,1.839428254,1.696715827
obs130,Trussell,1996,50,50,0.688988426,0.622221833,0.231809263,0.261302538
obs131,Trussell,1996,50,50,7.238944049,7.469377637,1.423232723,1.565934516
obs132,Trussell,1997,89,15,1.365307634,1.288423045,0.137981866,0.101280287
obs133,Trussell,1997,89,15,0.978593679,1.017341087,0.069475312,0.05520573
obs134,TrussellSmith,2000,48,48,1.25,1.159,8.736464273,8.112925983
obs135,TrussellSmith,2000,48,48,0.985,0.671,6.914346824,4.731962806
obs136,TrussellSmith,2000,48,48,31.041,39.003,221.5916521,276.7055088
obs137,TrussellSmith,2000,48,48,59.852,84.927,421.9414331,595.6176317
obs138,Trussell,2000,57,38,0.022,0.023,0.007549834,0.006164414
obs139,Trussell,2000,49,30,0.039,0.04,0.007,0.005477226
obs140,Trussell,2000,57,38,8.48,8.31,0.52848841,0.55479726
obs141,Trussell,2000,49,30,7.72,7.6,0.56,0.602494813
obs142,Trussell,2000,57,38,5.64,5.67,0.377491722,0.3082207
obs143,Trussell,2000,49,30,5.44,5.48,0.42,0.328633535
obs144,Trussell,2000,57,38,8.48,8.31,0.52848841,0.55479726
obs145,Trussell,2000,49,30,7.72,7.6,0.56,0.602494813
obs146,Trussell,2000,6,6,1.219,1.084,3.010422894,2.684640758
obs147,Trussell,2000,6,6,0.97,0.827,2.405398927,2.055121894
obs148,Trussell,2000,6,6,157.173,140.944,389.6476819,350.3162251
obs149,Trussell,2000,6,6,107.039,89.187,267.3324115,222.4847038
obs150,Trussell,2002,42,42,0.789954364,1.119242324,5.1893,7.3933
obs151,Trussell,2002,42,42,0.786361583,1.037167697,5.2009,6.8497
obs152,Trussell,2002,48,48,1.089951496,1.309670385,7.6758,9.223
obs153,Trussell,2002,48,48,1.086353338,1.209621162,7.6634,8.5174
obs154,Trussell,2002,42,42,83.13950273,136.2586589,552.6869,906.2142
obs155,Trussell,2002,42,42,83.49573195,118.3068716,550.3841,785.2561
obs156,Trussell,2002,48,48,145.2819225,184.1172814,1026.3437,1300.358
obs157,Trussell,2002,48,48,144.9247822,162.9512496,1026.35,1151.2221
obs158,Trussell,2002,42,42,85.27785783,51.7993939,571.3825,346.1031
obs159,Trussell,2002,42,42,85.11657443,58.61674424,572.4468,391.3346
obs160,Trussell,2002,48,48,40.64359011,30.28535539,287.1588,217.6245
obs161,Trussell,2002,48,48,40.48377959,35.01706331,288.2507,251.5242
obs162,Trussell,2002,20,20,0.599058667,0.396550995,2.78,1.8744
obs163,Trussell,2002,20,20,0.249213063,0.138879276,1.2071,0.7135
obs164,Trussell,2002,20,20,0.104731743,0.064327284,0.5119,0.3275
obs165,Trussell,2002,20,20,0.043920281,0.019326447,0.2381,0.1281
obs166,Trussell,2002,20,20,11.05573849,7.711478747,52.0821,37.1261
obs167,Trussell,2002,20,20,5.193446144,2.163940428,26.041,12.3167
obs168,Trussell,2002,20,20,3.691081823,1.201428288,16.7517,5.6652
obs169,Trussell,2002,20,20,2.404528079,0.688987282,10.9481,3.326
obs170,Trussell,2003,12,12,1.715,3.746,7.690305586,14.5838678
obs171,Trussell,2003,12,12,3.806,50.08,43.5437573,200.2943554
obs172,Trussell,2003,12,12,0.3,0.4,1.091192009,1.444530374
obs173,Trussell,2003,12,12,346.39,504.497,1277.065309,1826.478753
obs174,Trussell,2003,12,12,9.506,10.994,33.42511648,38.6004843
obs175,Trussell,2003,12,12,1.88,1.921,6.616434085,6.737677641
obs176,Yeap,2001,52,52,1.9,2.15,0.144222051,0.144222051
obs177,Yeap,2001,52,52,1.91,2.17,0.144222051,0.144222051
obs178,EdgellNeufeld,2008,4,4,0.426,0.488,0.51,0.575
obs179,EdgellNeufeld,2008,4,4,0.426,1.585,0.51,1.759
obs180,Edgell,2009,5,5,0.523666667,0.204,0.577,0.255333333
obs181,Edgell,2009,5,5,0.342666667,0.148666667,0.382333333,0.188666667
obs182,Bourdeau,2009,3,3,0.741,1.303,0.014,0.005
obs183,Bourdeau,2009,3,3,0.741,1.627,0.014,0.007
obs184,Bourdeau,2009,3,3,0.741,1.638,0.014,0.009
obs185,Bourdeau,2009,3,3,1.662,1.748,0.01,0.006
obs186,Bourdeau,2009,3,3,1.662,1.572,0.01,0.005
obs187,Bourdeau,2009,3,3,1.662,1.59,0.01,0.005
obs188,Bourdeau,2009,3,3,0.216,0.288,0.025,0.012
obs189,Bourdeau,2009,3,3,0.216,0.186,0.025,0.004
obs190,Bourdeau,2009,3,3,0.216,0.2,0.025,0.002
obs191,Bourdeau,2009,3,3,0.393,0.912,0.009,0.009
obs192,Bourdeau,2009,3,3,0.393,0.912,0.009,0.014
obs193,Bourdeau,2009,3,3,0.393,0.874,0.009,0.001
obs194,Bourdeau,2009,3,3,2.241,1.065,0.014,0.01
obs195,Bourdeau,2009,3,3,2.241,0.769,0.014,0.01
obs196,Bourdeau,2009,3,3,2.241,0.713,0.014,0.005
obs197,Bourdeau,2009,3,3,6.062,2.615,0.397,0.23
obs198,Bourdeau,2009,3,3,6.062,2.615,0.397,0.031
obs199,Bourdeau,2009,3,3,6.062,2.615,0.397,0.092
obs200,Bourdeau,2010,4,4,5.02,3.41,1.660714286,1.079591837
obs201,Bourdeau,2010,4,4,5.02,0.785,1.660714286,0.240306122
obs202,Bourdeau,2010,4,4,5.02,0.353,1.660714286,0.060204082
obs203,Bourdeau,2010,4,4,0.704,0.818,0.310204082,0.374489796
obs204,Bourdeau,2010,4,4,0.704,0.872,0.310204082,0.397959184
obs205,Bourdeau,2010,4,4,0.704,0.886,0.310204082,0.404081633
obs206,Bourdeau,2010,4,4,0.266,0.18,0.092857143,0.052040816
obs207,Bourdeau,2010,4,4,0.266,0.012,0.092857143,0.026530612
obs208,Bourdeau,2010,4,4,0.266,0.012,0.092857143,0.029591837
obs209,Bourdeau,2010,4,4,0.933,0.843,0.237755102,0.235714286
obs210,Bourdeau,2010,4,4,0.933,0.8,0.237755102,0.218367347
obs211,Bourdeau,2010,4,4,0.933,0.857,0.237755102,0.245408163
obs212,Bourdeau,2010,4,4,258.667,304.003,120.069898,141.4979592
obs213,Bourdeau,2010,4,4,258.667,354.667,120.069898,164.2857143
obs214,Bourdeau,2010,4,4,258.667,334.667,120.069898,155.1020408
obs215,Bourdeau,2010,4,4,272.343,314.473,128.3122449,148.0704082
obs216,Bourdeau,2010,4,4,272.343,331.915,128.3122449,156.1010204
obs217,Bourdeau,2010,4,4,272.343,313.203,128.3122449,147.8566327
obs218,Bourdeau,2010,3,3,0.853,0.979,0.415306122,0.479081633
obs219,Bourdeau,2010,3,3,0.834,0.935,0.406632653,0.458163265
obs220,Bourdeau,2010,3,3,0.89,0.981,0.435204082,0.479591837
obs221,Bourdeau,2010,3,3,0.245,0.17,0.05,0.022959184
obs222,Bourdeau,2010,3,3,0.323,0.188,0.083163265,0.032142857
obs223,Bourdeau,2010,3,3,0.245,0.043,0.05,0.032653061
obs224,Bourdeau,2011,4,4,0.933,0.26,0.028,0.035
obs225,Bourdeau,2011,4,4,1.119,0.214,0.035,0.049
obs226,Bourdeau,2011,4,4,1.172,0.214,0.039,0.039
obs227,Bourdeau,2011,4,4,0.163,0.039,0.013,0.013
obs228,Bourdeau,2011,4,4,0.268,0.021,0.012,0.009
obs229,Bourdeau,2011,4,4,0.257,0.004,0.011,0.012
obs230,Bourdeau,2011,4,4,2.144,2.369,0.026,0.015
obs231,Bourdeau,2011,4,4,2.121,2.443,0.007,0.021
obs232,Bourdeau,2011,4,4,2.251,2.775,0.025,0.025
obs233,Bourdeau,2012,4,4,0.101,0.018,0.03622449,0.006122449
obs234,Bourdeau,2012,4,4,0.135,0.018,0.053571429,0.006122449
obs235,AuldRelyea,2009,2,2,0.173,0.238,0.014,0.022
obs236,AuldRelyea,2009,2,2,0.211,0.342,0.011,0.016
obs237,AuldRelyea,2008,10,10,40.77,51.92,6.86,9.02
obs238,AuldRelyea,2008,10,10,67.31,33.65,11.37,9.02
obs239,AuldRelyea,2008,10,10,1309.98,1338.06,267.61,274.65
obs240,AuldRelyea,2008,10,10,2464.84,781.78,465,126.76
obs241,AuldRelyea,2008,10,10,2.02,2.76,0.3,0.222
obs242,AuldRelyea,2008,10,10,2.99,3.29,0.311,0.389
obs243,AuldRelyea,2008,10,10,2.69,0.623,0.622,0.244
obs244,AuldRelyea,2008,10,10,2.4,1.8,0.578,0.711
obs245,AuldRelyea,2008,10,10,54.86,76.57,3.43,4.29
obs246,AuldRelyea,2008,10,10,61.14,84,4,6.29
obs247,AuldRelyea,2008,10,10,99.14,135.14,6,5.71
obs248,AuldRelyea,2008,10,10,134,121.71,12.29,6.88
obs249,AuldRelyea,2008,10,10,113.7,211.86,19.44,14.82
obs250,AuldRelyea,2008,10,10,188.7,273.92,32.41,26.85
obs251,AuldRelyea,2008,10,10,230.37,246.12,26.85,15.74
obs252,AuldRelyea,2008,10,10,333.15,341.48,36.12,35.19
obs253,Bronmark,2011,11,11,0.006,-0.035,0.006,0.006
obs254,Bronmark,2011,11,11,0.002,-0.0009598,0.002,0.002
obs255,Bronmark,2011,9,9,0.053,-0.019,0.01,0.008
obs256,Bronmark,2011,9,9,0.049,-0.017,0.008,0.006
obs257,Bronmark,2011,9,9,0.005,0.002,0.003,0.005
obs258,Bronmark,2011,9,9,-0.008,-0.003,0.003,0.005
obs259,Bronmark,2012,4,4,0.02,-0.037,0.015,0.013
obs260,Bronmark,2012,4,4,0.027,-0.035,0.01,0.006
obs261,Bronmark,2012,4,4,0.027,-0.022,0.005,0.006
obs262,Bronmark,2012,4,4,0.019,-0.022,0.004,0.003
obs263,Bronmark,2012,4,4,0.016,-0.021,0.003,0.006
obs264,Bronmark,2012,4,4,-0.052,-0.025,0.005,0.007
obs265,Bronmark,2012,4,4,-0.032,-0.003,0.005,0.006
obs266,Bronmark,2012,4,4,-0.008,-0.015,0.002,0.003
obs267,Bronmark,2012,4,4,0.003,-0.002,0.003,0.004
obs268,Bronmark,2012,4,4,0.012,-0.003,0.003,0.004
obs269,Bronmark,2012,4,4,0.219,0.47,0.036,0.104
obs270,Bronmark,2012,4,4,0.272,0.513,0.038,0.036
obs271,Bronmark,2012,4,4,0.333,0.595,0.027,0.078
obs272,Bronmark,2012,4,4,0.275,0.53,0.018,0.035
obs273,Bronmark,2012,4,4,0.296,0.497,0.012,0.032
obs274,Bronmark,2012,4,4,631.41,107.15,75.71,41.45
obs275,Bronmark,2012,4,4,297.17,45.71,45.71,25.71
obs276,Bronmark,2012,4,4,91.43,70,22.86,24.29
obs277,Bronmark,2012,4,4,10,25.75,10,15.71
obs278,Bronmark,2012,4,4,2.86,20,8.57,12.86
obs279,Bronmark,2012,4,4,36.34,58.48,2.32,4.82
obs280,Bronmark,2012,4,4,33.93,50.98,0.536,7.23
obs281,Bronmark,2012,4,4,34.91,51.61,1.25,6.7
obs282,Bronmark,2012,4,4,38.93,47.59,0.714,5.63
obs283,Bronmark,2012,4,4,37.68,49.73,15.54,3.57
obs284,Bronmark,2012,4,4,13.35,0.462,9.39,0.596
obs285,Bronmark,2012,4,4,11.44,0.347,7.65,0.443
obs286,Bronmark,2012,4,4,9.73,0.308,8.19,0.539
obs287,Bronmark,2012,4,4,7.67,0.192,6.904,0.212
obs288,Bronmark,2012,4,4,6.712,0.192,6.288,0.232
obs289,Brown,1985,15,15,49.52,46.036,1.61,3.55
obs290,Brown,1985,15,15,53.33,53.33,2.9,1.94
obs291,Brown,1985,15,15,15.8,20.71,0.422,0.533
obs292,Brown,1985,15,15,15.66,19.91,0.4,0.533
obs293,Brown,1985,15,15,44.32,42.16,0.604,1.08
obs294,Brown,1985,15,15,44.6,44.87,0.27,0.54
obs295,Brown,1985,15,15,21.05,19.08,0.427,0.676
obs296,Brown,1985,15,15,20,16.97,0.541,0.27
obs297,Brown,1985,15,15,6.46,10.24,0.571,0.698
obs298,Brown,1985,15,15,5.48,9.72,0.762,0.317
obs299,Brown,1985,15,15,20.55,23.15,1.64,4.52
obs300,Brown,1985,15,15,19.73,17.81,5.21,2.33
obs301,Brown,1985,15,15,12.75,12.54,0.339,0.681
obs302,Brown,1985,15,15,10.98,9.49,0.475,0.339
obs303,Brown,1985,15,15,23.66,31,1.5,2.33
obs304,Brown,1985,15,15,20.83,20.33,0.85,1
obs305,Brown,1985,15,15,84.08,58.78,13.07,11.43
obs306,Brown,1985,15,15,22.86,7.76,6.94,2.08
obs307,Brown,1985,15,15,320.29,379.61,54.26,57.62
obs308,Brown,1985,15,15,101.69,147.44,16.95,23.79
obs309,Chase,1999,6,6,8.902,9.995,1.486,0.859
obs310,Chase,1999,6,6,8.902,10.464,1.486,1.018
obs311,Chase,1999,6,6,8.591,11.011,1.093,0.785
obs312,Chase,1999,6,6,8.591,12.496,1.093,1.484
obs313,Chase,1999,6,6,8.199,11.636,0.873,1.171
obs314,Chase,1999,6,6,8.199,12.338,0.873,1.327
obs315,Dybdahl,2005,30,30,5.836,5.027,0.109,0.146
obs316,Dybdahl,2005,30,30,5.836,4.464,0.109,0.218
obs317,Dybdahl,2005,30,30,5.682,5.227,0.137,0.1
obs318,Dybdahl,2005,30,30,5.682,4.582,0.137,0.2
obs319,Dybdahl,2005,30,30,5.991,4.882,0.073,0.118
obs320,Dybdahl,2005,30,30,5.991,4.201,0.073,0.147
obs321,Dybdahl,2005,30,30,0.516,1.094,0.102,0.102
obs322,Dybdahl,2005,30,30,0.516,1.258,0.102,0.102
obs323,Dybdahl,2005,30,30,0.539,0.852,0.125,0.078
obs324,Dybdahl,2005,30,30,0.539,1.297,0.125,0.172
obs325,Dybdahl,2005,30,30,0.547,0.859,0.062,0.55
obs326,Dybdahl,2005,30,30,0.547,1.719,0.062,0.125
obs327,Dybdahl,2005,30,30,6.34,4.6,0.301,0.261
obs328,Dybdahl,2005,30,30,6.34,4.38,0.301,0.48
obs329,Dybdahl,2005,30,30,5.96,4.62,0.28,0.241
obs330,Dybdahl,2005,30,30,5.96,3.24,0.28,0.42
obs331,Dybdahl,2005,30,30,6.3,4.32,0.281,0.18
obs332,Dybdahl,2005,30,30,6.3,2.881,0.281,0.361
obs333,Dybdahl,2005,30,30,4.837,4.673,0.106,0.1
obs334,Dybdahl,2005,30,30,4.837,4.769,0.106,0.089
obs335,Dybdahl,2005,30,30,4.949,4.425,0.056,0.061
obs336,Dybdahl,2005,30,30,264.59,227.09,15.28,14.58
obs337,Dybdahl,2005,30,30,278.47,205.56,15.28,10.42
obs338,Dybdahl,2005,30,30,279.87,222.22,15.28,11.81
obs339,Dybdahl,2005,30,30,18.375,45.405,4.6,3.51
obs340,Dybdahl,2005,30,30,21.625,29.735,4.32,4.05
obs341,Dybdahl,2005,30,30,28.925,32.165,2.16,2.72
obs342,Dybdahl,2005,30,30,3.362,4.592,0.666,0.538
obs343,Dybdahl,2005,30,30,4.082,2.692,0.641,0.59
obs344,Dybdahl,2005,30,30,4.902,3.332,0.333,0.333
obs345,Krist,2002,3,3,0.544,0.523,0.008,0.005
obs346,Krist,2002,3,3,0.467,0.466,0.005,0.005
obs347,Krist,2002,3,3,0.475,0.465,0.004,0.004
obs348,Krist,2002,3,3,0.527,0.513,0.01,0.008
obs349,Krist,2002,3,3,0.434,0.439,0.005,0.003
obs350,Krist,2002,3,3,0.463,0.459,0.004,0.004
obs351,Lakowitz,2008,5,5,0.024,-0.03,0.006,0.006
obs352,Lakowitz,2008,5,5,0.024,0.018,0.006,0.006
obs353,Lakowitz,2008,5,5,0.024,-0.015,0.006,0.006
obs354,Lakowitz,2008,5,5,0.007,0.002,0.002,0.003
obs355,Lakowitz,2008,5,5,0.007,0.002,0.002,0.0007317
obs356,Lakowitz,2008,5,5,0.007,-0.01,0.002,0.003
obs357,Lakowitz,2008,5,5,0.179,0.293,0.008,0.014
obs358,Lakowitz,2008,5,5,0.179,0.212,0.008,0.011
obs359,Lakowitz,2008,5,5,0.179,0.297,0.008,0.017
obs360,Lakowitz,2008,5,5,0.105,0.173,0.008,0.012
obs361,Lakowitz,2008,5,5,0.105,0.137,0.008,0.009
obs362,Lakowitz,2008,5,5,0.105,0.225,0.008,0.015
obs363,Langerhans,2002,2,2,2.032,1.333,0.168,0.155
obs364,Langerhans,2002,2,2,2.032,1.21,0.168,0.155
obs365,Langerhans,2002,2,2,2.032,1.43,0.168,0.188
obs366,Langerhans,2002,2,2,2.032,1.521,0.168,0.142
obs367,Langerhans,2002,2,2,2.032,1.32,0.168,0.149
obs368,Langerhans,2002,2,2,2.032,0.395,0.168,0.149
obs369,Turner,2008,8,8,0.337,0.392,0.012,0.012
obs370,Turner,2008,8,8,0.337,0.363,0.012,0.01
obs371,Turner,2008,8,8,0.337,0.355,0.012,0.027
obs372,Turner,2008,8,8,0.337,0.261,0.012,0.012
obs373,Turner,2008,8,8,0.337,0.286,0.012,0.01
obs374,Turner,2008,8,8,0.074,0.099,0.005,0.004
obs375,Turner,2008,8,8,0.074,0.087,0.005,0.007
obs376,Turner,2008,8,8,0.074,0.09,0.005,0.005
obs377,Turner,2008,8,8,0.074,0.085,0.005,0.003
obs378,Turner,2008,8,8,0.074,0.073,0.005,0.001
obs379,Hoverman,2007,6,6,0.465,0.314,0.019,0.017
obs380,Hoverman,2007,6,6,0.299,0.265,0.015,0.016
obs381,Hoverman,2007,6,6,0.218,0.219,0.039,0.037
obs382,Hoverman,2007,6,6,0.218,0.22,0.047,0.045
obs383,Hoverman,2007,6,6,0.196,0.165,0.03,0.031
obs384,Hoverman,2007,6,6,64.486,64.026,6.559,7.009
obs385,Hoverman,2007,6,6,140.654,148.626,7.009,8.879
obs386,Hoverman,2007,6,6,178.045,217.292,7.994,7.999
obs387,Hoverman,2007,6,6,213.552,235.049,9.813,8.411
obs388,Hoverman,2007,6,6,248.599,276.216,14.494,12.617
obs389,Hoverman,2007,6,6,-0.229,0.098,0.109,0.142
obs390,Hoverman,2007,6,6,0.348,1.315,0.153,0.141
obs391,Hoverman,2007,6,6,-0.163,1.12,0.152,0.152
obs392,Hoverman,2007,6,6,-1.424,0.12,0.196,0.185
