obs_ID,study_ID,year_pub,C_mean,C_sd,C_n,T_mean,T_sd,T_n
obs001,10.1111/j.1744-7917.2011.01429.x,2011,0.72,0.0949,10,0.82,0.0632,10
obs002,10.1111/j.1744-7917.2011.01429.x,2011,84.1,6.957,10,89.4,4.4272,10
obs003,10.1111/j.1744-7917.2011.01429.x,2011,11.7,0.3162,10,13.6,0.6325,10
obs004,10.1111/j.1744-7917.2011.01429.x,2011,4.12,0.1265,8,3.88,0.1265,8
obs005,10.1111/j.1744-7917.2011.01429.x,2011,0.79,0.0316,10,0.9,0.0632,10
obs006,10.1111/j.1744-7917.2011.01429.x,2011,79.9,5.0596,10,85.6,6.957,10
obs007,10.1111/j.1744-7917.2011.01429.x,2011,11.7,0.3162,10,13.7,0.3162,10
obs008,10.1111/j.1744-7917.2011.01429.x,2011,4.26,0.0949,10,4.03,0.1265,10
obs009,10.1371/journal.pone.0019751,2011,0.28,0.098,6,0.26,0.0122,6
obs010,10.1371/journal.pone.0019751,2011,30,5.3889,6,23,6.8586,6
obs011,10.1371/journal.pone.0019751,2011,13,0.196,6,10.5,0.4164,6
obs012,10.1371/journal.pone.0019751,2011,3.1,0.9798,6,1.5,0.4899,6
obs013,10.1371/journal.pone.0019751,2011,3,1.4697,6,2.4,0.1225,6
obs014,10.1371/journal.pone.0019751,2011,650,659.1577,6,290,340.4791,6
obs015,10.1371/journal.pone.0019751,2011,0.25,0.0735,6,0.25,0.0245,6
obs016,10.1371/journal.pone.0019751,2011,31,0.7348,6,20,1.7146,6
obs017,10.1371/journal.pone.0019751,2011,11,0.4654,6,12,0.8573,6
obs018,10.1371/journal.pone.0019751,2011,3.05,0.049,6,2,0.4899,6
obs019,10.1371/journal.pone.0019751,2011,3.4,0.7348,6,2.8,0.049,6
obs020,10.1371/journal.pone.0019751,2011,390,459.0344,6,250,212.3708,6
obs021,10.1371/journal.pone.0019751,2011,0.26,0.0245,6,0.31,0.0049,6
obs022,10.1371/journal.pone.0019751,2011,26,21.0656,6,30,3.4293,6
obs023,10.1371/journal.pone.0019751,2011,12.5,2.4495,6,13,3.1843,6
obs024,10.1371/journal.pone.0019751,2011,3.3,0.3674,6,2.5,0.6614,6
obs025,10.1371/journal.pone.0019751,2011,3.5,1.2247,6,2.65,0.5389,6
obs026,10.1371/journal.pone.0019751,2011,1210,920.5182,6,750,893.5739,6
obs027,10.1111/j.1744-7917.2010.01328.x,2011,0.26,0.0693,12,0.255,0.0173,12
obs028,10.1111/j.1744-7917.2010.01328.x,2011,255,106.6943,12,290,99.4197,12
obs029,10.1111/j.1744-7917.2010.01328.x,2011,0.8,0.2078,12,1.38,2.2863,12
obs030,10.1111/j.1744-7917.2010.01328.x,2011,0.31,0.3118,12,0.35,0.1386,12
obs031,10.1111/j.1744-7917.2010.01328.x,2011,34,6.4432,12,36,3.6719,12
obs032,10.1111/j.1744-7917.2010.01328.x,2011,0.25,0.0069,12,0.24,0.0069,12
obs033,10.1111/j.1744-7917.2010.01328.x,2011,300,95.2628,12,400,114.6618,12
obs034,10.1111/j.1744-7917.2010.01328.x,2011,0.8,0.2078,12,1.15,2.2517,12
obs035,10.1111/j.1744-7917.2010.01328.x,2011,0.5,0.1386,12,0.6,0.1732,12
obs036,10.1111/j.1744-7917.2010.01328.x,2011,34,8.8681,12,25,8.8681,12
obs037,10.1007/s11829-010-9119-y,2011,10.4,0.9592,23,10.4,0.9592,23
obs038,10.1007/s11829-010-9119-y,2011,1.41,0.2877,23,1.65,0.2877,23
obs039,10.1007/s11829-010-9119-y,2011,4.13,0.2877,23,4.15,0.2877,23
obs040,10.1007/s11829-010-9119-y,2011,10.4,0.9592,23,9.9,0.9592,23
obs041,10.1007/s11829-010-9119-y,2011,1.51,0.2398,23,1.67,0.2398,23
obs042,10.1007/s11829-010-9119-y,2011,4.1,0.3837,23,4.41,0.3837,23
obs043,10.1007/s11829-010-9119-y,2011,10,1.3229,7,10.3,1.3229,7
obs044,10.1007/s11829-010-9119-y,2011,1.02,0.3439,7,1.33,0.3704,7
obs045,10.1007/s11829-010-9119-y,2011,4.24,0.3969,7,4.12,0.3969,7
obs046,10.1007/s00049-011-0084-4,2011,0.3,0.2214,10,0.24,0.2119,10
obs047,10.1007/s00049-011-0084-4,2011,0.3,0.2214,10,0.275,0.2467,10
obs048,10.1111/j.1365-2486.2010.02264.x,2011,1.18,1.8623,30,1,1.8623,30
obs049,10.1111/j.1365-2486.2010.02264.x,2011,2.85,1.917,30,3.15,1.917,30
obs050,10.1111/j.1365-2486.2010.02264.x,2011,33.5,26.1264,30,35,24.6475,30
obs051,10.1111/j.1744-7917.2011.01419.x,2011,355,160.9599,10,260,146.0972,10
obs052,10.1111/j.1744-7917.2011.01419.x,2011,30,14.2302,10,38,10.9731,10
obs053,10.1111/j.1744-7917.2011.01419.x,2011,180,24.3495,10,235,24.3495,10
obs054,10.1111/j.1744-7917.2011.01419.x,2011,4,9.4868,10,5,11.068,10
obs055,10.1111/j.1744-7917.2011.01419.x,2011,42,14.5465,10,46,16.4438,10
obs056,10.1111/j.1744-7917.2011.01419.x,2011,16,3.1623,10,18.5,3.1623,10
obs057,10.1111/j.1744-7917.2011.01419.x,2011,27.3,5.0596,10,24,4.7434,10
obs058,10.1111/j.1744-7917.2011.01419.x,2011,150,23.0846,10,196,19.2899,10
obs059,10.1111/j.1744-7917.2011.01419.x,2011,315,166.0196,10,200,171.0792,10
obs060,10.1111/j.1744-7917.2011.01419.x,2011,41,10.2458,10,46,10.309,10
obs061,10.1111/j.1744-7917.2011.01419.x,2011,135,29.093,10,170,26.8794,10
obs062,10.1111/j.1744-7917.2011.01419.x,2011,22,10.4355,10,26.5,10.1193,10
obs063,10.1111/j.1744-7917.2011.01419.x,2011,55,17.0763,10,56,13.2816,10
obs064,10.1111/j.1744-7917.2011.01419.x,2011,18.8,3.1623,10,22,3.1623,10
