obs_ID,study_ID,year_pub,C_mean,T_mean,C_sd,T_sd,C_n,T_n
obs168,Joshi et al. 2006,2006,35.83,35.52,53.17,55.11,12,12
obs169,Kardol et al. 2011,2011,7.03,5.97,3.55,1.07,3,3
obs170,Kaur et al. 2012,2012,9.22,3.7,1.93,2.34,10,10
obs171,Khanaposhtani et al. 2013,2013,4.69,3.09,0.03,0.03,50,50
obs172,Kitahara and Sei 2001,2001,28.67,17.33,2.08,6.51,3,3
obs173,"Klanderud and Totland, 2005",2005,36,34.1,8.22,5.38,10,10
obs174,"Klanderud and Totland, 2005",2005,36,37.3,8.22,6.96,10,10
obs175,"Klanderud and Totland, 2007",2007,16.25,14.75,5.3,3.4,2,4
obs176,Klein et al. 2004,2004,34.9,26.04,2.68,2.68,4,4
obs177,"Krushelnycky and Gillespie, 2008",2008,14.48,9.36,2.6,1.98,5,5
obs178,Lake et al. 2010,2010,4.89,4.47,2.13,1.78,5,5
obs179,"Lambrinos, 2000",2000,44.2,32.45,3.26,2.16,5,5
obs180,Leidner et al. 2010,2010,60,70.3,12.91,14.33,11,11
obs181,Lewandowska et al. 2012,2012,16.67,16.77,0.45,0.76,2,2
obs182,"Lindberg and Persson, 2004",2004,20.75,21.68,2.3,3.1,4,4
obs183,Lindo et al. 2012,2012,0.44,0.7,0.08,0.07,8,8
obs184,"Lindsay and French, 2006",2006,0.042,0.051,0.01,0.01,4,4
obs185,Lloret et al. 2003,2003,9.66,9.33,3.57,2.74,3,3
obs186,Lu et al. 2010,2010,8.25,2.47,1.25,1.58,3,3
obs187,MacGregor-Fors et al. 2010,2010,34,23,16.89,21.09,10,10
obs188,Macreadie et al. 2009,2009,10.64,9.71,1.82,1.59,3,3
obs189,Magura et al. 2004,2004,5.83,5.52,2.53,2.53,40,40
obs190,Magura et al. 2009,2009,27.22,26.83,8.25,8.37,9,9
obs191,Magura et al. 2010,2010,3.75,5.61,0.5,1.18,4,4
obs192,Marchante et al. 2003,2003,10.46,8.99,2.04,2.69,6,6
obs193,Maron et al. 2006,2006,10.94,8.26,1.22,1.62,6,6
obs194,Maron et al. 2006,2006,14,9,5.7,4.8,9,9
obs195,Martin 1999,1999,2.6,0.7,1.86,0.7,15,15
obs196,Martin and Murray 2013,2013,0.27,0.45,0.22,0.07,5,3
obs197,"Mason and French, 2008",2008,7.05,3.22,5.04,3.15,22,22
obs198,"McGlynn, 2009",2009,2.58,3.12,0.24,0.24,6,6
obs199,"McGlynn, 2009",2009,2.58,1.6,0.24,0.29,6,6
obs200,McKee et al. 2002,2002,6.84,5.85,0.78,0.72,4,4
obs201,"McLaren and Turkington, 2011",2011,3.34,3.4,0.31,0.31,5,5
obs202,Mealor et al. 2004,2004,7,6.4,1.24,1.9,4,4
obs203,Mealor et al. 2004,2004,7.7,6.3,2.44,1.76,4,4
obs204,Meffin et al. 2010,2010,5.62,5.34,2.23,1.38,21,21
obs205,Meijer et al. 2011,2011,15.8,10.4,1.8,1.8,4,4
obs206,Meijer et al. 2011,2011,15.8,14,1.8,2.2,4,4
obs207,Michiels and Traunspurger 2005,2005,8.3,13.2,8.27,9.17,5,5
obs208,Minden et al. 2010,2010,37.8,19.4,5.77,3.35,5,5
obs209,Miserendino et al. 2008,2008,19.12,13.99,3.84,7.42,4,4
obs210,Monaghan et al. 2005,2005,21,19.95,3.5,4.35,3,7
obs211,Moss et al. 2003,2003,28.5,31.5,6.2,3.4,4,4
obs212,Moss et al. 2003,2003,28.5,28.8,6.2,5.9,4,4
obs213,"Muralli and Setty, 2001",2001,13.93,16.97,4.91,6.21,56,77
obs214,"Muralli and Setty, 2001",2001,14.75,17.78,5.34,6.43,78,56
obs215,"Navarette and Halffter, 2008",2008,26.07,5.8,3.7,1.68,14,10
obs216,"Navarette and Halffter, 2008",2008,26.07,23.7,3.7,5.16,14,14
obs217,Ngai et al. 2008,2008,7.6,14,3.8,4.92,5,5
