obs_ID,study_ID,year_pub,C_mean,C_sd,C_n,T_mean,T_sd,T_n
obs001,"Wassen et al., 1998",1998,238.99,22.1,4,302.77,44.81,4
obs002,"Wassen et al., 1998",1998,238.99,22.1,4,248.67,12.41,4
obs003,"Wassen et al., 1998",1998,170.36,9.09,4,204.27,24.49,4
obs004,"Wassen et al., 1998",1998,170.36,9.09,4,173.59,12.33,4
obs005,"Wassen et al., 1998",1998,171.16,11.51,4,228.49,19.66,4
obs006,"Wassen et al., 1998",1998,171.16,11.51,4,165.51,13.12,4
obs007,"Wassen et al., 1998",1998,374.63,11.75,4,503,69.29,4
obs008,"Wassen et al., 1998",1998,374.63,11.75,4,385.12,10.95,4
obs009,"Wright et al., 2011",2011,0.01,0.01,16,0.02,0.01,16
obs010,"Wright et al., 2011",2011,0.01,0.01,16,0.01,0.01,16
obs011,"Wright et al., 2011",2011,0.01,0.01,16,0.01,0.01,16
obs012,"Wright et al., 2011",2011,0.01,0.01,16,0.01,0,16
obs013,"Campo and V??zques-Yanes, 2004",2004,4.79,1.05,12,8.53,5.81,12
obs014,"Campo and V??zques-Yanes, 2004",2004,4.79,1.05,12,10.36,7.61,12
obs015,"Campo and V??zques-Yanes, 2004",2004,2.48,1.87,12,3.94,0.69,12
obs016,"Campo and V??zques-Yanes, 2004",2004,2.48,1.87,12,6.37,2.4,12
obs017,"Campo and V??zques-Yanes, 2004",2004,6.97,4.43,12,11.15,4.01,12
obs018,"Campo and V??zques-Yanes, 2004",2004,6.97,4.43,12,16.26,10.29,12
obs019,"Campo and V??zques-Yanes, 2004",2004,5.93,4.47,12,7.63,5.1,12
obs020,"Campo and V??zques-Yanes, 2004",2004,5.93,4.47,12,14.04,9.91,12
obs021,"Santiago et al., 2012",2012,1.07,0.19,4,0.92,0.53,4
obs022,"Santiago et al., 2012",2012,1.07,0.19,4,0.87,0.17,4
obs023,"Santiago et al., 2012",2012,0.87,0.56,4,0.65,0.61,4
obs024,"Santiago et al., 2012",2012,0.87,0.56,4,0.8,0.14,4
obs025,"Carpetner et al., 1990",1990,74.4,148.8,4,198.5,162.2,4
obs026,"Carpetner et al., 1990",1990,7,14,4,5.5,2.6,4
obs027,"Carpetner et al., 1990",1990,1.5,3,4,0.1,0.2,4
obs028,"Carpetner et al., 1990",1990,310.1,620.2,4,619.1,200.2,4
obs029,"Carpetner et al., 1990",1990,33,66,4,45.9,78.6,4
obs030,"Carpetner et al., 1990",1990,8.8,17.6,4,1.3,2.6,4
obs031,"Carpetner et al., 1990",1990,162.9,325.8,4,376.8,185,4
obs032,"Carpetner et al., 1990",1990,30.7,61.4,4,13.1,6.2,4
obs033,"Carpetner et al., 1990",1990,15.4,30.8,4,6.3,8.4,4
obs034,"Carpetner et al., 1990",1990,74.4,148.8,4,99.6,118.4,4
obs035,"Carpetner et al., 1990",1990,7,14,4,4.5,3.6,4
obs036,"Carpetner et al., 1990",1990,1.5,3,4,0.7,1.2,4
obs037,"Carpetner et al., 1990",1990,310.1,620.2,4,417.9,70.4,4
obs038,"Carpetner et al., 1990",1990,33,66,4,21.4,24.8,4
obs039,"Carpetner et al., 1990",1990,8.8,17.6,4,15.4,19.6,4
obs040,"Carpetner et al., 1990",1990,162.9,325.8,4,200.1,54.4,4
obs041,"Carpetner et al., 1990",1990,30.7,61.4,4,23.9,15.2,4
obs042,"Carpetner et al., 1990",1990,15.4,30.8,4,10.6,15.2,4
obs043,"Carpetner et al., 1990",1990,15,1.4,4,12.2,3.2,4
obs044,"Carpetner et al., 1990",1990,24,8.4,4,21.8,7.6,4
obs045,"Carpetner et al., 1990",1990,10.5,2,4,8,1.8,4
obs046,"Carpetner et al., 1990",1990,23.2,4.2,4,18.2,4,4
obs047,"Carpetner et al., 1990",1990,8.2,2,4,8.2,1,4
obs048,"Carpetner et al., 1990",1990,24.8,3,4,24.8,2.2,4
obs049,"Carpetner et al., 1990",1990,15,1.4,4,13,3,4
obs050,"Carpetner et al., 1990",1990,24,8.4,4,18.8,1.6,4
obs051,"Carpetner et al., 1990",1990,10.5,2,4,8.8,1,4
obs052,"Carpetner et al., 1990",1990,23.2,4.2,4,19,4.8,4
obs053,"Carpetner et al., 1990",1990,8.2,2,4,7.5,1.8,4
obs054,"Carpetner et al., 1990",1990,24.8,3,4,21.8,3.4,4
obs055,"Schmidt et al., 1997a",1997,0.6,0.14,10,0.44,0.11,10
obs056,"Schmidt et al., 1997a",1997,0.24,0.1,10,0.13,0.07,10
obs057,"Schmidt et al., 1997a",1997,0.16,0.09,10,0.11,0.04,10
obs058,"Schmidt et al., 1997a",1997,0.6,0.14,10,0.67,0.18,10
obs059,"Schmidt et al., 1997a",1997,0.24,0.1,10,0.57,0.18,10
obs060,"Schmidt et al., 1997a",1997,0.16,0.09,10,0.33,0.08,10
obs061,"Schmidt et al., 1997a",1997,0.04,0,10,0.28,0.06,10
obs062,"Schmidt et al., 1997a",1997,0.01,0.01,10,0.14,0.08,10
obs063,"Schmidt et al., 1997a",1997,0.01,0.01,10,0.13,0.08,10
obs064,"Schmidt et al., 1997a",1997,0.04,0,10,0.03,0.01,10
obs065,"Schmidt et al., 1997a",1997,0.01,0.01,10,0.02,0.01,10
obs066,"Schmidt et al., 1997a",1997,0.01,0.01,10,0.01,0,10
obs067,"Schmidt et al., 1997a",1997,3.08,1.2,10,16.83,3.28,10
obs068,"Schmidt et al., 1997a",1997,2.98,0.99,10,22.92,2.74,10
obs069,"Schmidt et al., 1997a",1997,2.18,1.09,10,21.09,4.71,10
obs070,"Schmidt et al., 1997a",1997,3.08,1.2,10,1.07,0.22,10
obs071,"Schmidt et al., 1997a",1997,2.98,0.99,10,0.93,0.22,10
obs072,"Schmidt et al., 1997a",1997,2.18,1.09,10,1.32,0.66,10
obs073,"Schmidt et al., 1997a",1997,24.66,4.4,10,19.2,2.44,10
obs074,"Schmidt et al., 1997a",1997,12.05,3.34,10,7.77,1.14,10
obs075,"Schmidt et al., 1997a",1997,8.37,2.47,10,6.82,1.26,10
obs076,"Schmidt et al., 1997a",1997,24.66,4.4,10,27.08,4.78,10
obs077,"Schmidt et al., 1997a",1997,12.05,3.34,10,26.97,6.34,10
obs078,"Schmidt et al., 1997a",1997,8.37,2.47,10,22.99,6.19,10
obs079,"Schmidt et al., 1997a",1997,1.22,0.55,10,4.55,1.1,10
obs080,"Schmidt et al., 1997a",1997,1.18,0.44,10,5.07,1.65,10
obs081,"Schmidt et al., 1997a",1997,1.35,0.77,10,5.31,2.09,10
obs082,"Schmidt et al., 1997a",1997,1.22,0.55,10,0.69,0.22,10
obs083,"Schmidt et al., 1997a",1997,1.18,0.44,10,0.66,0.44,10
obs084,"Schmidt et al., 1997a",1997,1.35,0.77,10,0.73,0.22,10
obs085,"Schmidt et al., 1997a",1997,10.16,2.83,10,11.76,2.18,10
obs086,"Schmidt et al., 1997a",1997,9.4,1.5,10,11.21,2.73,10
obs087,"Schmidt et al., 1997a",1997,10.55,2.73,10,11.76,2.62,10
obs088,"Schmidt et al., 1997a",1997,10.16,2.83,10,11.55,1.08,10
obs089,"Schmidt et al., 1997a",1997,9.4,1.5,10,13.47,3.19,10
obs090,"Schmidt et al., 1997a",1997,10.55,2.73,10,12.35,1.75,10
obs091,"Schmidt et al., 1997a",1997,1.63,0.55,10,1.45,0.48,10
obs092,"Schmidt et al., 1997a",1997,1.29,0.5,10,0.69,0.49,10
obs093,"Schmidt et al., 1997a",1997,1.15,0.59,10,0.7,0.54,10
obs094,"Schmidt et al., 1997a",1997,1.63,0.55,10,3.67,0.74,10
obs095,"Schmidt et al., 1997a",1997,1.29,0.5,10,2.55,1.35,10
