obs_ID,study_ID,year_pub,C_mean,C_sd,C_n,T_mean,T_sd,T_n
obs001,Wijgerde et al 2014,2014,0.186,0.036,4,0.169,0.03,4
obs002,Venn et al 2013,2013,482,138,9,450,114,9
obs003,Venn et al 2013,2013,482,138,9,334,159,9
obs004,Venn et al 2013,2013,482,138,9,247,141,9
obs005,Towle et al 2015,2015,1.3,0.316227766,10,1.33,0.284604989,10
obs006,Towle et al 2015,2015,1.38,0.284604989,10,1.01,0.284604989,10
obs007,Tanaka et al 2014,2014,13.47,5.544916591,21,11.82,4.490924181,21
obs008,Tanaka et al 2014,2014,13.79,6.00317416,21,10.27,5.86569689,21
obs009,Tambutte et al 2014,2014,7.33,0.588897275,12,7.1,0.658179307,12
obs010,Tambutte et al 2014,2014,7.33,0.588897275,12,6.33,0.658179307,12
obs011,Tambutte et al 2014,2014,7.33,0.588897275,12,6.16,0.727461339,12
obs012,Takahashi & Kurihara 2013,2013,3.55,1.51,5,3.89,1.09,5
obs013,Takahashi & Kurihara 2013,2013,3.55,1.51,5,1.87,1.73,4
obs014,Schoepf et al 2013,2013,0.078,0.038013156,5,0.055,0.017888544,5
obs015,Schoepf et al 2013,2013,0.078,0.038013156,5,0.031,0.020124612,5
obs016,Schoepf et al 2013,2013,0.351,0.138636215,5,0.276,0.140872283,5
obs017,Schoepf et al 2013,2013,0.351,0.138636215,5,0.242,0.069318107,5
obs018,Schoepf et al 2013,2013,0.067,0.015652476,5,0.135,0.049193496,5
obs019,Schoepf et al 2013,2013,0.067,0.015652476,5,0.074,0.067082039,5
obs020,Schoepf et al 2013,2013,0.243,0.055901699,5,0.266,0.116275535,5
obs021,Schoepf et al 2013,2013,0.243,0.055901699,5,0.214,0.064845971,5
obs022,Rodolfo-Metalpa et al 2010,2010,247.3,61.02196326,17,231.8,127.8162744,17
obs023,Rodolfo-Metalpa et al 2010,2010,97,46.59109357,17,86.4,46.59109357,17
obs024,Reynaud et al 2003,2003,0.41,0.055901699,5,0.43,0.067082039,5
obs025,Renegar & Riegl 2005,2005,2.1,0.5,3,0.43,0.18,3
obs026,Ohki et al 2013,2013,173,19.6773982,20,157,29.9633109,20
obs027,Ohki et al 2013,2013,173,19.6773982,20,144,20.1246118,20
obs028,Ohki et al 2013,2013,121.2,17.88854382,20,95.5,20.1246118,20
obs029,Ohki et al 2013,2013,121.2,17.88854382,20,99.6,18.33575742,20
obs030,Muehllehner & Edmunds 2008,2008,7.9,2.529822128,10,2.4,2.213594362,10
obs031,Muehllehner & Edmunds 2008,2008,1.8,1.106797181,10,0.95,0.411096096,10
obs032,Movilla et al 2012,2012,2.25,1.126765282,24,1.46,0.783836718,24
obs033,Movilla et al 2012,2012,3.57,2.351510153,24,2.41,0.832826513,24
obs034,Marubini et al 2008,2008,21,5.638262144,11,17.7,6.96491206,11
obs035,Marubini et al 2008,2008,21,5.638262144,11,14.7,7.296574539,11
obs036,Marubini et al 2002,2002,6.23,0.866025404,12,5.12,1.143153533,12
obs037,Marubini et al 2002,2002,38.9,3.464101615,12,31.7,3.464101615,12
obs038,Marubini et al 2002,2002,18.3,1.039230485,12,16,0.692820323,12
obs039,Marubini et al 2002,2002,7.5,0.866025404,12,6.6,1.732050808,12
obs040,Marubini et al 2001,2001,0.58,0.158113883,10,0.45,0.126491106,10
obs041,Marubini et al 2001,2001,1.03,0.252982213,10,0.96,0.221359436,10
obs042,Marubini et al 2001,2001,1.94,0.18973666,10,1.36,0.379473319,10
obs043,Marubini & Atkinson 1999,1999,18.9,5.723722565,10,9.5,3.541750979,10
obs044,Krief et al 2010,2010,0.807,0.150807825,7,0.472,0.243409121,7
obs045,Krief et al 2010,2010,0.807,0.150807825,7,0.438,0.291032644,7
obs046,Kaniewska et al 2012 ,2012,0.1525,0.078,4,0.125,0.058,4
obs047,Kaniewska et al 2012 ,2012,0.1525,0.078,4,0.132,0.106,4
obs048,Jury et al 2010,2010,398,79.4858478,78,218,55.42562584,12
obs049,Jury et al 2010,2010,398,79.4858478,78,222,29.39387691,6
obs050,Jury et al 2010,2010,398,79.4858478,78,460,117.7794549,12
obs051,Jury et al 2010,2010,398,79.4858478,78,423,135.764502,18
obs052,Jury et al 2010,2010,398,79.4858478,78,439,58.78775383,6
obs053,Inoue et al 2012,2012,229,58,64,218,45,67
obs054,Inoue et al 2012,2012,229,58,64,171,30,53
obs055,Inoue et al 2012,2012,229,58,64,129,30,47
obs056,Iguchi et al 2014,2014,0.324,0.083138439,3,0.227,0.09627907,3
obs057,Iguchi et al 2014,2014,0.324,0.083138439,3,0.169,0.1,3
obs058,Iguchi et al 2014,2014,0.324,0.083138439,3,0.199,0.066511628,3
obs059,Iguchi et al 2014,2014,0.324,0.083138439,3,0.144,0.063023256,3
obs060,Iguchi et al 2014,2014,0.242,0.067549981,3,0.216,0.073488372,3
obs061,Iguchi et al 2014,2014,0.242,0.067549981,3,0.188,0.036976744,3
obs062,Iguchi et al 2014,2014,0.242,0.067549981,3,0.104,0.02627907,3
obs063,Iguchi et al 2014,2014,0.242,0.067549981,3,0.109,0.021162791,3
obs064,Iguchi et al 2014,2014,0.043,0.02236068,5,0.025,0.014,5
obs065,Iguchi et al 2014,2014,0.043,0.02236068,5,0.024,0.016666667,5
obs066,Iguchi et al 2014,2014,0.043,0.02236068,5,0.02,0.016,5
obs067,Iguchi et al 2012,2012,13.17,3.794733192,10,8.98,3.193900437,10
obs068,Iguchi et al 2012,2012,13.17,3.794733192,10,4.28,2.308462692,10
