obs_ID,study_ID,year_pub,C_mean,C_sd,C_n,T_mean,T_sd,T_n
obs001,Vaccaro et al,2009,79.478,13.57235013,3,58.209,13.57235013,3
obs002,Vaccaro et al,2009,79.478,13.57235013,3,41.915,12.70978883,3
obs003,Jogar & Moora,2008,10.862,6.890098113,3,23.467,7.820209396,3
obs004,Rasran et al,2007,0.416666667,0.416666667,24,0.583333333,0.503610155,24
obs005,Rasran et al,2007,0.375,0.375,24,0.5,0.510753918,24
obs006,Rasran et al,2007,0.5,0.5,24,0.291666667,0.464305621,24
obs007,Rasran et al,2007,0.666666667,0.666666667,24,0.875,0.337831962,24
obs008,Rasran et al,2007,0.541666667,0.541666667,24,0.583333333,0.503610155,24
obs009,Rasran et al,2007,0.625,0.625,24,0.625,0.494535355,24
obs010,Rasran et al,2007,0.25,0.25,24,0.208333333,0.414851117,24
obs011,Rasran et al,2007,0.416666667,0.416666667,24,0.75,0.442325868,24
obs012,Rasran et al,2007,0.416666667,0.416666667,24,0.25,0.442325868,24
obs013,Rasran et al,2007,0.125,0.125,24,0.125,0.337831962,24
obs014,Rasran et al,2007,0.375,0.375,24,0.25,0.442325868,24
obs015,Rasran et al,2007,0,0,24,0.166666667,0.380693494,24
obs016,Rasran et al,2007,0.375,0.375,24,0.166666667,0.380693494,24
obs017,Rasran et al,2007,0.583333333,0.583333333,24,0.583333333,0.503610155,24
obs018,Rasran et al,2007,0.166666667,0.166666667,24,0.333333333,0.481543412,24
obs019,Rasran et al,2007,0.166666667,0.166666667,24,0.625,0.494535355,24
obs020,Rasran et al,2007,0.083333333,0.083333333,24,0.333333333,0.481543412,24
obs021,Rasran et al,2007,0.166666667,0.166666667,24,0.416666667,0.503610155,24
obs022,Rasran et al,2007,0.458333333,0.458333333,24,0.541666667,0.508977378,24
obs023,Rasran et al,2007,0.625,0.625,24,0.625,0.494535355,24
obs024,Rasran et al,2007,0.583333333,0.583333333,24,0.541666667,0.508977378,24
obs025,Rasran et al,2007,0.791666667,0.791666667,24,0.791666667,0.414851117,24
obs026,Rasran et al,2007,0.041666667,0.041666667,24,0.208333333,0.414851117,24
obs027,Rasran et al,2007,0.333333333,0.333333333,24,0.291666667,0.464305621,24
obs028,Rasran et al,2007,0.333333333,0.333333333,24,0.375,0.494535355,24
obs029,Rasran et al,2007,0.166666667,0.166666667,24,0.125,0.337831962,24
obs030,Rasran et al,2007,0.291666667,0.291666667,24,0.375,0.494535355,24
obs031,Rasran et al,2007,0.5,0.5,24,0.583333333,0.503610155,24
obs032,Michington et al,2006,5.163,6.8653048,10,4.053,12.3581811,10
obs033,Michington et al,2006,0.203,0.411096096,10,2.684,4.819311154,10
obs034,Michington et al,2006,0.122,0.588183645,10,0.203,0.411096096,10
obs035,Stammel et al,2006,8.8,7.004760286,10,4.4,3.373096171,10
obs036,Stammel et al,2006,9.8,4.289522118,10,9.5,5.562773089,10
obs037,Stammel et al,2006,6,5.395471352,10,1.5,1.433720878,10
obs038,Stammel et al,2006,5.3,2.71006355,10,2.1,1.663329993,10
obs039,Stammel et al,2006,0.1,0.316227766,10,0,0,10
obs040,Stammel et al,2006,2.6,1.712697677,10,0.5,0.527046277,10
obs041,Stammel et al,2006,10.7,6.750308635,10,4.8,6.250333324,10
obs042,Stammel et al,2006,6.6,4.247875286,10,8.3,2.945806813,10
obs043,Stammel et al,2006,5.2,2.347575582,10,2.5,3.689323937,10
obs044,Stammel et al,2006,4.2,3.359894178,10,2.6,2.118699811,10
obs045,Stammel et al,2006,2.8,1.619327707,10,0.9,1.100504935,10
obs046,Donath et al,2006,11.5,3,4,9.5,3.2,4
obs047,Donath et al,2006,1.5,0.9,4,0.8,0.8,4
obs048,Donath et al,2006,18.5,7.3,4,8.3,4.4,4
obs049,Donath et al,2006,0.8,0.8,4,1.8,1,4
obs050,Donath et al,2006,2,0.7,4,0.5,0.3,4
obs051,Donath et al,2006,3,1.2,4,0.3,0.3,4
obs052,Foster & Gross,1998,59.789,353.7,6,45.755,171.792,6
obs053,Foster & Gross,1998,4.211,191.988,6,5.333,141.48,6
obs054,Foster & Gross,1998,59.789,353.7,6,18.807,606.312,6
obs055,Loydi,,57.14285714,49.48716593,6,50,50,7
obs056,Loydi,,37.5,48.41229183,7,75,40.82482905,8
obs057,Loydi,,37.5,48.41229183,7,37.6984127,40.51313285,7
obs058,Loydi,,30.35714286,31.97893238,7,22.91666667,35.56516487,8
obs059,Loydi,,9.250398724,14.66982639,8,26.55426445,39.06749797,9
obs060,Loydi,,31.69642857,35.77623595,8,45.21367521,23.96732249,8
obs061,Loydi,,10.71428571,19.66989481,7,25,46.29100499,8
obs062,Loydi,,26.5625,45.53133732,8,12.4037999,13.82228318,9
obs063,Loydi,,16.66666667,35.63483225,8,45.23809524,47.14045208,8
obs064,Loydi,,34.61538462,45.50830602,12,69.6969697,43.70365182,10
obs065,Loydi,,51.19047619,50.06570305,14,69.6969697,40.01262427,11
obs066,Loydi,,65.93406593,42.57385002,13,89.09090909,30.15113446,11
obs067,Loydi,,73.46021742,41.85952258,14,87.59018759,29.69627203,11
obs068,Loydi,,91.43665228,11.41987018,13,93.8305377,6.052320496,11
obs069,Viard-Cretat et al,2010,2.037,2.636181329,3,3.369,4.074,4
obs070,Viard-Cretat et al,2010,0.347,0.766690289,6,4.354,3.524140746,7
