study_id,Obs,Ambient CO2 (ppm),Elevated CO2 (ppm),CO2 difference (ppm),Treatment duration (years),Latitude,Longitude,Country,Fercility ,Unit,Other treatments,Data location,Notes,Nitrogen addition,Ecosystem,Vegetation,mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR)
Carnol et al. 2002,1,350,750,400,4.0,*,*,Germany,OTC,μg N 48 h-1 g-1 dry soil,No,Table 2,Average of upper and lower soil layers,No,Forest,Coniferous,15.4500,23.8500,2.8382,2.9288,5,5,0.4342,0.0098,,*,*,*,*,*,*,*,*,,15.4500,23.8500,2.8382,2.9288,5,5,0.4342,0.0098
Hall et al. 1998,2,450,720,270,0.0,*,*,*,GC,ng N g-1 h-1,No,Fig. 2,Mesocosm; pH 4.3,No,Grassland,Ryegrass,167.2190,102.2058,16.7219,10.2206,5,5,-0.4923,0.004,,167.2190,102.2058,16.7219,10.2206,5,5,-0.4923,0.004,,*,*,*,*,*,*,*,*
Hall et al. 1998,3,450,720,270,0.0,*,*,*,GC,ng N g-1 h-1,No,Fig. 2,Mesocosm; pH 5.9,No,Grassland,Ryegrass,381.8320,358.2463,38.1832,35.8246,5,5,-0.0638,0.004,,381.8320,358.2463,38.1832,35.8246,5,5,-0.0638,0.004,,*,*,*,*,*,*,*,*
Hall et al. 1998,4,450,720,270,0.0,*,*,*,GC,ng N g-1 h-1,No,Fig. 2,Mesocosm; pH 7,No,Grassland,Ryegrass,867.6687,1101.5625,86.7669,110.1563,5,5,0.2387,0.004,,867.6687,1101.5625,86.7669,110.1563,5,5,0.2387,0.004,,*,*,*,*,*,*,*,*
Kanerva et al. 2006,5,438,487,49,2.5,60°49' N,23°28' E,Finland,OTC,mg N g-1 h-1,Fertilizer,Table 4,*,Yes,Grassland,*,0.6183,0.5550,0.0725,0.0538,3,3,-0.108,0.0077,,0.6183,0.5550,0.0725,0.0538,3,3,-0.108,0.0077,,*,*,*,*,*,*,*,*
Kanerva et al. 2006,6,438,486,48,2.5,60°49' N,23°28' E,Finland,OTC,mg N g-1 h-1,Fertilizer + O3,Table 4,*,Yes,Grassland,*,0.4920,0.6060,0.0468,0.0335,3,3,0.2084,0.004,,0.4920,0.6060,0.0468,0.0335,3,3,0.2084,0.004,,*,*,*,*,*,*,*,*
Larsen et al. 2011,7,350,510,160,2.0,55°53'N,11°58'E,Denmark,FACE,g N m-2 yr-1,No,Table 1,*,No,Heathland,*,19.0000,17.8000,14.2070,11.2677,6,6,-0.0652,0.16,,19.0000,17.8000,14.2070,11.2677,6,6,-0.0652,0.16,,*,*,*,*,*,*,*,*
Larsen et al. 2011,8,350,510,160,2.0,55°53'N,11°58'E,Denmark,FACE,g N m-2 yr-1,Drought,Table 1,*,No,Heathland,*,21.5000,17.9000,17.3914,16.1666,6,6,-0.1833,0.245,,21.5000,17.9000,17.3914,16.1666,6,6,-0.1833,0.245,,*,*,*,*,*,*,*,*
Larsen et al. 2011,9,350,510,160,2.0,55°53'N,11°58'E,Denmark,FACE,g N m-2 yr-1,Warming,Table 1,*,No,Heathland,*,29.9000,18.7000,30.1287,16.4116,6,6,-0.4693,0.2976,,29.9000,18.7000,30.1287,16.4116,6,6,-0.4693,0.2976,,*,*,*,*,*,*,*,*
Larsen et al. 2011,10,350,510,160,2.0,55°53'N,11°58'E,Denmark,FACE,g N m-2 yr-1,Warming + Drought,Table 1,*,No,Heathland,*,36.4000,25.6000,20.0858,17.6363,6,6,-0.352,0.1298,,36.4000,25.6000,20.0858,17.6363,6,6,-0.352,0.1298,,*,*,*,*,*,*,*,*
