study_id,Obs,Ambient CO2 (ppm),Elevated CO2 (ppm),CO2 difference (ppm),Treatment duration (years),Latitude,Longitude,Country,Fercility ,Unit,Other treatments,Data location,Notes,Nitrogen addition,Ecosystem,Vegetation,mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR)
Niboyet et al. 2010,11,318,645,327,0.2,*,*,*,GC,ng N g-1 soil h-1,No,Fig. 2,*,No,Grassland,Dactylis glomerata,25.3012,26.5060,6.2604,2.0868,3,3,0.0465,0.0225,,25.3012,26.5060,6.2604,2.0868,3,3,0.0465,0.0225,,*,*,*,*,*,*,*,*
Niboyet et al. 2010,12,318,645,327,0.2,*,*,*,GC,ng N g-1 soil h-1,Nitrogen,Fig. 2,10 g N m-2,Yes,Grassland,Dactylis glomerata,80.7229,100.0000,16.6945,20.8681,3,3,0.2141,0.0288,,80.7229,100.0000,16.6945,20.8681,3,3,0.2141,0.0288,,*,*,*,*,*,*,*,*
Pinay et al. 2007,13,350,700,350,2.0,43°38'N,3°52'E,France,GC,nM N g-1 soil  h-1,No,Fig. 1,*,No,Grassland,*,7.2000,6.6462,1.5665,1.6971,8,8,-0.08,0.0141,,7.2000,6.6462,1.5665,1.6971,8,8,-0.08,0.0141,,*,*,*,*,*,*,*,*
Smart et al. 1997,14,360,1000,640,0.1,*,*,*,GC,g m-2,Nitrogen (100 mM),Fig. 1,*,Yes,Cropland,Wheat,0.0572,0.2256,0.0330,0.1525,3,4,1.3722,0.2252,,0.0572,0.2256,0.0330,0.1525,3,4,1.3722,0.2252,,*,*,*,*,*,*,*,*
Smart et al. 1997,15,360,1000,640,0.1,*,*,*,GC,g m-2,Nitrogen (1000 mM),Fig. 1,*,Yes,Cropland,Wheat,0.0477,0.9280,0.0220,0.7754,3,4,2.9681,0.2454,,0.0477,0.9280,0.0220,0.7754,3,4,2.9681,0.2454,,*,*,*,*,*,*,*,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
