study_id,Obs,Ambient CO2 (ppm),Elevated CO2 (ppm),CO2 difference (ppm),Treatment duration (years),Latitude,Longitude,Country,Fercility ,Unit,Other treatments,Data location,Notes,Nitrogen addition,Ecosystem,Vegetation,,mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,lnR,Var(lnR),,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),
Baggs et al. 2003,17,NO3-,360,600,240,8,47°27'N,8°41'E,Switzerland,FACE,g N kg-1 dry soil re-growth-1,High Nitrogen,Table 3,*,Yes,Grassland,Lolium/Trifolium,36,34.5,9.4552,13.704,3,3,-0.0426,0.0756,,*,*,*,*,*,*,*,*,,36,34.5,9.4552,13.704,3,3,-0.0426,0.0756
Baggs et al. 2003,18,NO3-,360,600,240,8,47°27'N,8°41'E,Switzerland,FACE,g N kg-1 dry soil re-growth-1,High Nitrogen,Table 3,*,Yes,Grassland,Trifolium,41.5,42.5,6.5727,10.761,3,3,0.0238,0.0297,,*,*,*,*,*,*,*,*,,41.5,42.5,6.5727,10.761,3,3,0.0238,0.0297
Baggs et al. 2003,19,TIN,360,600,240,8,47°27'N,8°41'E,Switzerland,FACE,g N kg-1 dry soil re-growth-1,Low Nitrogen,Table 3,*,Yes,Grassland,Lolium,19.5,19,4.6476,4.6476,3,3,-0.026,0.0389,,*,*,*,*,*,*,*,*,,19.5,19,4.6476,4.6476,3,3,-0.026,0.0389
Baggs et al. 2003,20,TIN,360,600,240,8,47°27'N,8°41'E,Switzerland,FACE,g N kg-1 dry soil re-growth-1,Low Nitrogen,Table 3,*,Yes,Grassland,Lolium/Trifolium,20.5,22.5,6.9714,7.6289,3,3,0.0931,0.0769,,*,*,*,*,*,*,*,*,,20.5,22.5,6.9714,7.6289,3,3,0.0931,0.0769
Baggs et al. 2003,21,TIN,360,600,240,8,47°27'N,8°41'E,Switzerland,FACE,g N kg-1 dry soil re-growth-1,Low Nitrogen,Table 3,*,Yes,Grassland,Trifolium,26,28.5,6.2929,6.8848,3,3,0.0918,0.039,,*,*,*,*,*,*,*,*,,26,28.5,6.2929,6.8848,3,3,0.0918,0.039
Baggs et al. 2003,22,TIN,360,600,240,8,47°27'N,8°41'E,Switzerland,FACE,g N kg-1 dry soil re-growth-1,High Nitrogen,Table 3,*,Yes,Grassland,Lolium,49.5,54,10.6771,14.2408,3,3,0.087,0.0387,,*,*,*,*,*,*,*,*,,49.5,54,10.6771,14.2408,3,3,0.087,0.0387
Baggs et al. 2003,23,TIN,360,600,240,8,47°27'N,8°41'E,Switzerland,FACE,g N kg-1 dry soil re-growth-1,High Nitrogen,Table 3,*,Yes,Grassland,Lolium/Trifolium,51,50,10.2176,14.5739,3,3,-0.0198,0.0417,,*,*,*,*,*,*,*,*,,51,50,10.2176,14.5739,3,3,-0.0198,0.0417
Baggs et al. 2003,24,TIN,360,600,240,8,47°27'N,8°41'E,Switzerland,FACE,g N kg-1 dry soil re-growth-1,High Nitrogen,Table 3,*,Yes,Grassland,Trifolium,54.5,56,7.4297,11.4368,3,3,0.0272,0.0201,,*,*,*,*,*,*,*,*,,54.5,56,7.4297,11.4368,3,3,0.0272,0.0201
Barnard et al. 2004 (GCB),25,NH4+,350,600,250,4,43°17' N,11°35' E,Italy,FACE,μg N g-1 dry soil,No,Table2,*,No,Grassland,*,2.1,2,0.4899,0.4899,6,6,-0.0488,0.0191,,*,*,*,*,*,*,*,*,,2.1,2,0.4899,0.4899,6,6,-0.0488,0.0191
Barnard et al. 2004 (GCB),26,NH4+,370,600,230,4,45°43' N,3°1' E,France,FACE,μg N g-1 dry soil,Nitrogen + Cut,Table2,*,Yes,Grassland,*,8.5,9.7,1.0392,1.7321,3,3,0.1321,0.0156,,*,*,*,*,*,*,*,*,,8.5,9.7,1.0392,1.7321,3,3,0.1321,0.0156
Barnard et al. 2004 (GCB),27,NH4+,370,600,230,4,45°43' N,3°1' E,France,FACE,μg N g-1 dry soil,Nitrogen,Table2,*,Yes,Grassland,*,9.3,9.7,0.866,2.0785,3,3,0.0421,0.0182,,*,*,*,*,*,*,*,*,,9.3,9.7,0.866,2.0785,3,3,0.0421,0.0182
