Land use,N_trt,N_ctrl,mean_trt,mean_ctrl,SD_trt,SD_ctrl,Type of inhibitora ,Type of chemical or organic fertilizerb,Soil type,Total N application rate ,study_id
upland,3,3,0.426,0.38,,,DCD,AN,alluvial,120,McTaggart et al. 1997
upland,3,3,6.7,8.27,0.97,0.99,DCD,pig slurry,Typic Xerofluvent,175c,Meijide et al. 2007
grassland,4,4,4.05,4.44,,,DMPP,ASN,,97,Menendez et al. 2006
grassland,4,4,10.98,15.49,,,DMPP,cattle slurry,,181,Menendez et al. 2006
grassland,4,4,0.715,1.242,0.048,0.234,DCD,CAN,Gleysol,80,Merino et al. 2002
grassland,4,4,0.488,1.225,0.08,0.191,DCD,cattle slurry,Gleysol,174,Merino et al. 2002
grassland,3,3,11.784,15.049,,,DMPP,cattle slurry,,824,Merino et al. 2005
grassland,3,3,7.407,9.706,,,DMPP,cattle slurry,,860,Merino et al. 2005
paddy,3,3,0.483,0.735,0.041,0.068,DCD,U,Typic Ustochrept,120,Pathak et al. 2002
paddy,3,3,0.54,0.929,0.023,0.076,DCD,U,Typic Ustochrept,120,Pathak et al. 2002
upland,3,3,0.619,0.766,0.019,0.036,DCD,U,Typic Ustochrept,120,Pathak et al. 2002
upland,3,3,0.55,0.711,0.027,0.011,DCD,U,Typic Ustochrept,120,Pathak et al. 2002
grassland,4,4,0.25,1,,,DCD,U,Argillic-mottled Fragic Pallic,50,Smith et al. 2008
grassland,4,4,0.73,3.74,,,DCD,U,Argillic-mottled Fragic Pallic,50,Smith et al. 2008
grassland,4,4,0.28,2.93,,,DCD,U,Argillic-mottled Fragic Pallic,50,Smith et al. 2008
grassland,3,3,5.6,10.5,1.2,3,DCD,pig slurry,Typic Xerofluvent,200,Vallejo et al. 2005
upland,3,3,4.01,5.62,0.42,0.23,DCD,pig slurry,Clcic Haploxerepts,175,Vallejo et al. 2006
upland,4,4,0.093,0.132,0.004,0.005,DCD,ASN,Fluvisol,90,Weiske et al. 2001
upland,4,4,0.267,0.34,0.007,0.01,DCD,ASN,Fluvisol,160,Weiske et al. 2001
upland,4,4,0.252,0.353,0.01,0.01,DCD,ASN,Fluvisol,180,Weiske et al. 2001
upland,4,4,0.079,0.132,0.004,0.005,DMPP,ASN,Fluvisol,90,Weiske et al. 2001
upland,4,4,0.181,0.34,0.007,0.01,DMPP,ASN,Fluvisol,160,Weiske et al. 2001
upland,4,4,0.167,0.353,0.006,0.01,DMPP,ASN,Fluvisol,180,Weiske et al. 2001
grassland,3,3,1.5,2.4,,,DCD,U,Typic Hapludand,150,Zaman et al. 2008
Tested mitigation option: polymer-coated fertilizers ,,,,,,,,,,,
upland,2,2,0.163,0.184,0.019,0.008,,CN,Andosol,150,Akiyama & Tsuruta 2002
upland,2,2,0.072,0.097,0.009,0.021,,CN,Andosol,150,Akiyama & Tsuruta 2002
upland,2,2,0.19,0.164,0.012,0.02,,U,Andosol,200,Akiyama et al. 2000
grassland,3,3,0.305,1.6,0,0.61,,AN,Gleysol,600,Ball et al. 2004
grassland,3,3,0.533,2.21,0.076,0.305,,AN,Gleysol,600,Ball et al. 2004
grassland,3,3,1.067,15.7,0.305,1.6,,AN,Gleysol,600,Ball et al. 2004
grassland,3,3,1.067,5.867,0.229,1.6,,AN,Gleysol,600,Ball et al. 2004
grassland,3,3,0.61,0.99,0.152,0.076,,AN,Gleysol,600,Ball et al. 2004
upland,4,4,2.4,2.74,,,,U,Osborne Orthic Black,80,Burton et al. 2008
upland,4,4,1.07,1.19,,,,U,Osborne Orthic Black,80,Burton et al. 2008
upland,4,4,0.97,1.77,,,,U,Osborne Orthic Black,80,Burton et al. 2008
upland,3,3,0.508,0.853,,,,U,Andosol,250,Cheng et al. 2002
upland,4,4,0.464,0.452,0.035,0.085,,U,Andosol,90,Chu et al. 2007
upland,4,4,0.621,0.738,,,,U,mesic Aridic Argiustoll,90,Delgado & Mosier 1996
grassland,3,3,0.569,3.882,0.484,4.579,,U,Gleysol,100,Dobbie and Smith 2003
grassland,3,3,8.405,9.189,5.061,7.469,,U,Gleysol,100,Dobbie et al. 2003
upland,3,3,0.573,6.917,0.535,1.097,,U,Ultisol,90,Hadi et al. 2008
upland,2,2,1.004,0.778,0.117,0.228,,U,Andosol,250,Hou & Tsuruta 2003
upland,3,3,1.7,1.87,,,,U,Haplusterts,90,Jumadi et al. 2008
upland,4,4,0.544,0.537,0.119,0.138,,U,Andosol,150,Yan et al. 2001
Tested mitigation option: urease inhibitors,,,,,,,,,,,
upland,4,4,0.69,0.48,,,NBPT,U,Newdale Orthic Black,80,Burton et al. 2008
upland,4,4,0.58,0.61,,,NBPT,U,Newdale Orthic Black,80,Burton et al. 2008
upland,4,4,0.23,0.21,,,NBPT,U,Newdale Orthic Black,80,Burton et al. 2008
grassland,3,3,8.491,3.882,8.675,4.579,NBPT,U,Gleysol,100,Dobbie & Smith 2003
grassland,3,3,7.773,9.189,5.061,7.469,NBPT,U,Gleysol,100,Dobbie & Smith 2003
paddy,3,3,0.73,0.76,,,hydroquinone,U,Typic Ustochrept,120,Malla et al. 2005
upland,3,3,0.62,0.66,,,hydroquinone,U,Typic Ustochrept,120,Malla et al. 2005
grassland,3,3,2.3,2.4,,,NBPT,U,Typic Hapludand,150,Zaman et al. 2008
