study_id,Obs,Ambient CO2 (ppm),Elevated CO2 (ppm),CO2 difference (ppm),Treatment duration (years),Latitude,Longitude,Country,Fercility ,Unit,Other treatments,Data location,Notes,Nitrogen addition,Ecosystem,Vegetation,mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR)
Baggs et al. 2003,13,360,600,240,8.0,47°27'N,8°41'E,Switzerland,FACE,g N kg-1 dry soil re-growth-1,Low Nitrogen,Table 3,*,Yes,Grassland,Lolium,0.5000,1.0000,0.1931,0.4892,3,3,0.6931,0.1295,,*,*,*,*,*,*,*,*,,15.45,23.85,2.8382,2.9288,5,5,0.4342,0.0098
Baggs et al. 2003,14,360,600,240,8.0,47°27'N,8°41'E,Switzerland,FACE,g N kg-1 dry soil re-growth-1,Low Nitrogen,Table 3,*,Yes,Grassland,Lolium/Trifolium,0.5185,0.5000,0.3016,0.2840,3,3,-0.0363,0.2203,,167.219,102.2058,16.7219,10.2206,5,5,-0.4923,0.004,,*,*,*,*,*,*,*,*
Baggs et al. 2003,15,360,600,240,8.0,47°27'N,8°41'E,Switzerland,FACE,g N kg-1 dry soil re-growth-1,Low Nitrogen,Table 3,*,Yes,Grassland,Trifolium,0.2683,0.3571,0.1158,0.1402,3,3,0.2859,0.1135,,381.832,358.2463,38.1832,35.8246,5,5,-0.0638,0.004,,*,*,*,*,*,*,*,*
Baggs et al. 2003,16,360,600,240,8.0,47°27'N,8°41'E,Switzerland,FACE,g N kg-1 dry soil re-growth-1,High Nitrogen,Table 3,*,Yes,Grassland,Lolium,0.2857,0.3671,0.1000,0.1607,3,3,0.2507,0.1047,,867.6687,1101.5625,86.7669,110.1563,5,5,0.2387,0.004,,*,*,*,*,*,*,*,*
Baggs et al. 2003,17,360,600,240,8.0,47°27'N,8°41'E,Switzerland,FACE,g N kg-1 dry soil re-growth-1,High Nitrogen,Table 3,*,Yes,Grassland,Lolium/Trifolium,0.4167,0.4493,0.1535,0.2292,3,3,0.0753,0.132,,0.6183,0.555,0.0725,0.0538,3,3,-0.108,0.0077,,*,*,*,*,*,*,*,*
Baggs et al. 2003,18,360,600,240,8.0,47°27'N,8°41'E,Switzerland,FACE,g N kg-1 dry soil re-growth-1,High Nitrogen,Table 3,*,Yes,Grassland,Trifolium,0.3133,0.3176,0.0971,0.1215,3,3,0.0136,0.0808,,0.492,0.606,0.0468,0.0335,3,3,0.2084,0.004,,*,*,*,*,*,*,*,*
Barnard et al. 2004 (GCB),32,350,600,250,4.0,43°17' N,11°35' E,Italy,FACE,μg N g-1 dry soil,No,Table2,*,No,Grassland,*,0.1795,0.1802,0.0702,0.0594,6,6,0.0039,0.0436,,19,17.8,14.207,11.2677,6,6,-0.0652,0.16,,*,*,*,*,*,*,*,*
Barnard et al. 2004 (GCB),33,370,600,230,4.0,45°43' N,3°1' E,France,FACE,μg N g-1 dry soil,Nitrogen + Cut,Table2,*,Yes,Grassland,*,6.0714,10.7778,3.0949,4.5730,3,3,0.5739,0.1466,,21.5,17.9,17.3914,16.1666,6,6,-0.1833,0.245,,*,*,*,*,*,*,*,*
Barnard et al. 2004 (GCB),34,370,600,230,4.0,45°43' N,3°1' E,France,FACE,μg N g-1 dry soil,Nitrogen,Table2,*,Yes,Grassland,*,5.8125,12.1250,0.8300,3.6934,3,3,0.7353,0.0377,,29.9,18.7,30.1287,16.4116,6,6,-0.4693,0.2976,,*,*,*,*,*,*,*,*
Barnard et al. 2004 (GCB),35,350,660,310,3.0,48°13' N,11°36' E,Germany,FACE,μg N g-1 dry soil,No,Table2,*,No,Grassland,*,3.0000,3.6667,1.1066,1.5516,6,6,0.2007,0.0525,,36.4,25.6,20.0858,17.6363,6,6,-0.352,0.1298,,*,*,*,*,*,*,*,*
Barnard et al. 2004 (GCB),36,350,660,310,3.0,48°13' N,11°36' E,Germany,FACE,μg N g-1 dry soil,Cut,Table2,*,No,Grassland,*,2.6250,2.4444,1.6364,1.3581,6,6,-0.0713,0.1162,,25.3012,26.506,6.2604,2.0868,3,3,0.0465,0.0225,,*,*,*,*,*,*,*,*
Barnard et al. 2004 (GCB),37,350,670,320,4.0,53°17' N,4°43'W,UK,GC,μg N g-1 dry soil,Nitrogen,Table2,*,Yes,Grassland,*,38.1667,1530.0000,51.4474,1809.0379,2,2,3.6911,1.6075,,80.7229,100,16.6945,20.8681,3,3,0.2141,0.0288,,*,*,*,*,*,*,*,*
Barnard et al. 2004 (GCB),38,350,670,320,4.0,53°17' N,4°43'W,UK,GC,μg N g-1 dry soil,Nitrogen + Warming,Table2,*,Yes,Grassland,*,21.0000,182.0000,21.0238,39.6515,2,2,2.1595,0.5249,,7.2,6.6462,1.5665,1.6971,8,8,-0.08,0.0141,,*,*,*,*,*,*,*,*
Barnard et al. 2004 (NP),46,365,665,300,1.3,*,*,*,GC,μg N g-1 dry soil,No,Fig. 5; sum of different layers,*,No,Grassland,Holcus,0.6702,0.7700,0.0874,0.1716,6,6,0.1388,0.0111,,0.0572,0.2256,0.033,0.1525,3,4,1.3722,0.2252,,*,*,*,*,*,*,*,*
Barnard et al. 2004 (NP),47,365,665,300,1.3,*,*,*,GC,μg N g-1 dry soil,No,Fig. 7; sum of different layers,*,No,Grassland,Festuca,1.1828,1.3257,0.1369,0.4514,6,6,0.1141,0.0216,,0.0477,0.928,0.022,0.7754,3,4,2.9681,0.2454,,*,*,*,*,*,*,*,*
Carnol et al. 2002,66,350,750,400,4.0,*,*,Germany,OTC,*,No,Table 1,Sum of upper and lower soil layers,No,Forest,Coniferous,1.9250,1.7273,0.6324,0.3246,5,5,-0.1084,0.0286,,,,,,,,,,,,,,,,,,
Carrillo et al. 2012,70,*,600,*,4.1,41°11' N,104°54' W,USA,FACE,g m-2,No,Fig. 3,*,No,Grassland,*,1.0319,1.7056,0.1804,0.3951,5,5,0.5025,0.0168,,,,,,,,,,,,,,,,,,
Carrillo et al. 2012,71,*,600,*,4.1,41°11' N,104°54' W,USA,FACE,g m-2,Warming,Fig. 3,*,No,Grassland,*,0.9312,1.8092,0.1548,0.3172,5,5,0.6642,0.0117,,,,,,,,,,,,,,,,,,
Drake et al. 2012,97,365,560,195,15.0,35°58' N,79°5' W,USA,FACE,mg N g-1 soil,No,Table 2,*,No,Forest,*,0.5676,0.7429,0.2486,0.5212,4,4,0.2691,0.171,,,,,,,,,,,,,,,,,,
Drake et al. 2012,98,365,560,195,15.0,35°58' N,79°5' W,USA,FACE,mg N g-1 soil,Nitrogen,Table 2,*,Yes,Forest,*,0.2794,0.4167,0.1685,0.2134,4,4,0.3997,0.1565,,,,,,,,,,,,,,,,,,
Drake et al. 2012,99,365,560,195,15.0,35°58' N,79°5' W,USA,FACE,mg N g-1 soil,Trench,Table 2,*,No,Forest,*,1.0714,0.9767,0.3830,0.4246,4,4,-0.0925,0.0792,,,,,,,,,,,,,,,,,,
Drake et al. 2012,100,365,560,195,15.0,35°58' N,79°5' W,USA,FACE,mg N g-1 soil,Nitrogen + Trench,Table 2,*,Yes,Forest,*,0.2283,0.3647,0.0778,0.2378,4,4,0.4684,0.1353,,,,,,,,,,,,,,,,,,
