study_id,Obs,Ambient CO2 (ppm),Elevated CO2 (ppm),CO2 difference (ppm),Treatment duration (years),Latitude,Longitude,Country,Fercility ,Unit,Other treatments,Data location,Notes,Nitrogen addition,Ecosystem,Vegetation,mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR)
Gloser et al. 2000,106,350,600,250,5.0,47°27'N,8°41'E,Switzerland,FACE,μg g-1 resin,Nitrogen,Fig. 1a,Low N; average of five harvests,Yes,Grassland,Lolium perenne,0.4498,0.2584,0.4094,0.2182,3,3,-0.5543,0.5138,,,,,,,,,,,,,,,,,,
Gloser et al. 2000,107,350,600,250,5.0,47°27'N,8°41'E,Switzerland,FACE,μg g-1 resin,Nitrogen,Fig. 1a,High N; average of five harvests,Yes,Grassland,Lolium perenne,0.1153,0.0907,0.1411,0.1334,3,3,-0.24,1.2203,,,,,,,,,,,,,,,,,,
Hagedorn et al. 2000,116,370,570,200,4.0,*,*,Switzerland,OTC,mg N bag-1,Low Nitrogen,Fig. 3,Acidic loam,Yes,Forest,Beech,0.3505,0.4444,0.2533,0.4540,8,8,0.2374,0.1957,,,,,,,,,,,,,,,,,,
Hagedorn et al. 2000,117,370,570,200,4.0,*,*,Switzerland,OTC,mg N bag-1,Low Nitrogen,Fig. 3,Acidic loam,Yes,Forest,Spruce,0.4394,0.3766,0.2127,0.1663,8,8,-0.1542,0.0537,,,,,,,,,,,,,,,,,,
Hagedorn et al. 2000,118,370,570,200,4.0,*,*,Switzerland,OTC,mg N bag-1,Low Nitrogen,Fig. 3,Calcareous sand,Yes,Forest,Beech,0.8788,1.3158,0.7250,1.2124,8,8,0.4036,0.1912,,,,,,,,,,,,,,,,,,
Hagedorn et al. 2000,119,370,570,200,4.0,*,*,Switzerland,OTC,mg N bag-1,Low Nitrogen,Fig. 3,Calcareous sand,Yes,Forest,Spruce,0.6383,0.8621,0.5310,0.8113,8,8,0.3006,0.1972,,,,,,,,,,,,,,,,,,
Hagedorn et al. 2000,128,370,570,200,4.0,*,*,Switzerland,OTC,mg N bag-1,High Nitrogen,Fig. 3,Acidic loam,Yes,Forest,Beech,0.3099,0.4356,0.2854,0.6195,8,8,0.3405,0.3588,,,,,,,,,,,,,,,,,,
Hagedorn et al. 2000,129,370,570,200,4.0,*,*,Switzerland,OTC,mg N bag-1,High Nitrogen,Fig. 3,Acidic loam,Yes,Forest,Spruce,0.4375,0.5385,0.4228,1.0829,8,8,0.2077,0.6222,,,,,,,,,,,,,,,,,,
Hagedorn et al. 2000,130,370,570,200,4.0,*,*,Switzerland,OTC,mg N bag-1,High Nitrogen,Fig. 3,Calcareous sand,Yes,Forest,Beech,0.1585,0.1951,0.4844,0.2545,8,8,0.2078,1.3802,,,,,,,,,,,,,,,,,,
Hagedorn et al. 2000,131,370,570,200,4.0,*,*,Switzerland,OTC,mg N bag-1,High Nitrogen,Fig. 3,Calcareous sand,Yes,Forest,Spruce,0.1143,0.1463,0.1095,0.2049,8,8,0.2468,0.3599,,,,,,,,,,,,,,,,,,
Hoosbeek et al. 2011,137,*,580,*,4.0,53°14'N,4°00'W,UK,FACE,g N m-2 land,No,Fig. 2,*,No,Forest,Deciduous,0.0463,0.0351,0.0073,0.0037,4,4,-0.2769,0.009,,,,,,,,,,,,,,,,,,
Hovenden et al. 2008,143,*,550,*,3.0,42°42' S,147°16' E,Australia ,FACE,ug N resin-1 14 day-1,No,Fig. 2,*,No,Grassland,*,0.8996,1.2601,0.2527,0.3043,3,3,0.337,0.0457,,,,,,,,,,,,,,,,,,
Hovenden et al. 2008,144,*,550,*,3.0,42°42' S,147°16' E,Australia ,FACE,ug N resin-1 14 day-1,Warming,Fig. 2,*,No,Grassland,*,0.7752,0.5332,0.1251,0.1373,3,3,-0.3742,0.0308,,,,,,,,,,,,,,,,,,
Johnson et al. 2003,148,350,686,336,5.0,28°38' N,80°42' W,USA,OTC,mg N 10 cm-2 land,No,Table 5,*,No,Forest,*,1.3247,2.7119,1.6167,1.2934,8,8,0.7165,0.2146,,,,,,,,,,,,,,,,,,
Kammann et al. 2008,153,*,*,*,6.0,50°32' N,8°41.3' E,Germany,FACE,mg N g-1 soil,Nitrogen,Table 4,*,Yes,Grassland,*,11.1957,11.8750,2.8521,3.7481,3,3,0.0589,0.0548,,,,,,,,,,,,,,,,,,
Kanerva et al. 2006,157,438,487,49,2.5,60°49' N,23°28' E,Finland,OTC,mg N g-1 soil,Fertilizer,Fig. 1,*,Yes,Grassland,*,36.7157,31.3822,6.1904,6.5344,3,3,-0.157,0.0239,,,,,,,,,,,,,,,,,,
Kanerva et al. 2006,158,438,486,48,2.5,60°49' N,23°28' E,Finland,OTC,mg N g-1 soil,Fertilizer + O3,Fig. 1,*,Yes,Grassland,*,31.7059,34.2354,9.7377,5.0253,3,3,0.0768,0.0386,,,,,,,,,,,,,,,,,,
Lam et al. 2011,163,420,565,145,0.7,40°10' N,116°14' E,China,FACE,mg kg-1 soil,Low Nitrogen,Fig. 2; Average across measurements,84 kg N ha-1,Yes,Cropland,Wheat,0.8605,0.5933,0.1217,0.0839,3,3,-0.3718,0.0133,,,,,,,,,,,,,,,,,,
Lam et al. 2011,164,420,565,145,0.7,40°10' N,116°14' E,China,FACE,mg kg-1 soil,High Nitrogen,Fig. 2; Average across measurements,188 kg N ha-1,Yes,Cropland,Wheat,0.1902,0.3229,0.0269,0.0457,3,3,0.5293,0.0133,,,,,,,,,,,,,,,,,,
Lam et al. 2013 (JAS),169,390,550,160,0.3,36°42' S,142°07' E,Australia,FACE,mg kg-1 soil,Nitrogen,Fig. 2e,100 kg N ha-1 yr-1; Average across dates,Yes,Cropland,Wheat,0.7747,1.0164,0.2861,0.3278,4,4,0.2715,0.0601,,,,,,,,,,,,,,,,,,
Lam et al. 2013 (JAS),170,390,550,160,0.3,36°42' S,142°07' E,Australia,FACE,mg kg-1 soil,Nitrogen + Irrigation,Fig. 2e,100 kg N ha-1 yr-1; Average across dates,Yes,Cropland,Wheat,0.9047,1.1651,0.4939,0.6210,4,4,0.253,0.1455,,,,,,,,,,,,,,,,,,
Lam et al. 2013 (PS_2),177,390,700,310,0.4,36°43' S,142°10' E,Australia,GC,mg pot-1,No,Table 4,cereal-legume soil,No,Cropland,wheat,3.0500,3.7000,0.8785,2.2458,4,4,0.1932,0.1128,,,,,,,,,,,,,,,,,,
Lam et al. 2013 (PS_2),178,390,700,310,0.4,36°43' S,142°10' E,Australia,GC,mg pot-1,Residue,Table 4,cereal-legume soil,No,Cropland,wheat,2.7414,1.9070,0.6060,0.7264,4,4,-0.3629,0.0485,,,,,,,,,,,,,,,,,,
Lam et al. 2013 (PS_2),179,390,700,310,0.4,36°43' S,142°10' E,Australia,GC,mg pot-1,No,Table 4,cereal-fallow soil,No,Cropland,wheat,2.4857,4.4091,1.9162,1.0824,4,4,0.5731,0.1636,,,,,,,,,,,,,,,,,,
Lam et al. 2013 (PS_2),180,390,700,310,0.4,36°43' S,142°10' E,Australia,GC,mg pot-1,Residue,Table 4,cereal-fallow soil,No,Cropland,wheat,2.4516,1.8861,1.0132,1.2264,4,4,-0.2622,0.1484,,,,,,,,,,,,,,,,,,
Larsen et al. 2011,185,350,510,160,2.0,55°53'N,11°58'E,Denmark,FACE,g N m-2,No,Table 2,*,No,Heathland,*,4.1614,7.4041,7.3983,13.9095,6,6,0.5762,1.115,,,,,,,,,,,,,,,,,,
Larsen et al. 2011,186,350,510,160,2.0,55°53'N,11°58'E,Denmark,FACE,g N m-2,Drought,Table 2,*,No,Heathland,*,2.9688,1.3474,9.1377,2.5033,6,6,-0.79,2.1542,,,,,,,,,,,,,,,,,,
Larsen et al. 2011,187,350,510,160,2.0,55°53'N,11°58'E,Denmark,FACE,g N m-2,Warming,Table 2,*,No,Heathland,*,1.2489,3.8697,2.1299,5.4506,6,6,1.1309,0.8154,,,,,,,,,,,,,,,,,,
Larsen et al. 2011,188,350,510,160,2.0,55°53'N,11°58'E,Denmark,FACE,g N m-2,Warming + Drought,Table 2,*,No,Heathland,*,0.7241,1.4940,1.8002,2.6570,6,6,0.7243,1.5573,,,,,,,,,,,,,,,,,,
Martin-Olmedo et al. 2002,201,396,716,320,0.1,*,*,*,GC,mg N core-1,Low Nitrogen,Table 3,*,Yes,Cropland,Barley,1.7368,1.8543,2.0493,3.0103,17,17,0.0655,0.2369,,,,,,,,,,,,,,,,,,
Martin-Olmedo et al. 2002,202,396,716,320,0.1,*,*,*,GC,mg N core-1,High Nitrogen,Table 3,*,Yes,Cropland,Barley,0.1842,0.1479,0.0972,0.0459,17,17,-0.2195,0.022,,,,,,,,,,,,,,,,,,
Niklaus et al. 1998,207,360,600,240,2.0,47°33' N,7°34' E,Switzerland,OTC,mg N g-1 soil,No,Fig. 6 (upper panel),*,No,Grassland,*,35.7128,39.1398,68.5173,63.0398,8,8,0.0916,0.7844,,,,,,,,,,,,,,,,,,
Tscherko et al. 2001,216,*,*,200,0.8,*,*,*,GC,mg kg-1,No,Table 3 & Table 3,Average across 3 generations,No,Grassland,*,3.3440,2.3417,1.6811,1.1990,6,6,-0.3563,0.0858,,,,,,,,,,,,,,,,,,
Tscherko et al. 2001,217,*,*,200,0.8,*,*,*,GC,mg kg-1,Warming,Table 3 & Table 3,Average across 3 generations,No,Grassland,*,0.6619,1.1920,0.1516,1.2599,6,6,0.5883,0.1949,,,,,,,,,,,,,,,,,,
Zak et al. 2007,222,374,531,157,7.0,45°40.5' N,89°37.5' W,USA,FACE,g N m-2 land,O3; average of contral and O3,Table 2,*,No,Forest,Across plant community type,3.5455,4.0000,3.3707,4.5907,3,3,0.1206,0.7403,,,,,,,,,,,,,,,,,,
