study_id,ecosystem/vegetation type,N addition (kg N ha-1 y-1),addition simplify,Fertilizer type,Fertilizer type simplify,Duration (days),Duration simplify,Species,Needle/broadleaf,C3/C4,Legume/non-legume,Deciduous/evergreen,Organ,Organ simplify 1,Organ simplify 2,mean_trt,mean_ctrl,Δ1,δ15N of fertilizer ‰,Δ2,,SD_trt,SD_ctrl,N_trt,N_ctrl,N,J,S,Hedages d,Vd,Vd*n,w',d',
2 ,Tree,40.000,< 100,Urea,urea,4380 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.765 ,-2.668 ,0.903 ,0.000 ,-0.903 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,0.7775 ,0.7170 ,43.0222,0.0232,0.0181 ,
2 ,Tree,39.231,< 100,Urea,urea,4745 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-2.009 ,-2.533 ,0.524 ,0.000 ,-0.524 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,0.4506 ,0.6836 ,41.0154,0.0244,0.0110 ,
2 ,Tree,38.571,< 100,Urea,urea,5110 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-2.525 ,-2.668 ,0.143 ,0.000 ,-0.143 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,0.1233 ,0.6679 ,40.0760,0.0250,0.0031 ,
2 ,Tree,38.000,< 100,Urea,urea,5475 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.873 ,-2.912 ,1.039 ,0.000 ,-1.039 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,0.8938 ,0.7332 ,43.9943,0.0227,0.0203 ,
2 ,Tree,37.500,< 100,Urea,urea,5840 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.900 ,-3.183 ,1.282 ,0.000 ,-1.282 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,1.1035 ,0.7681 ,46.0889,0.0217,0.0239 ,
2 ,Tree,37.059,< 100,Urea,urea,6205 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.113 ,-3.427 ,2.314 ,0.000 ,-2.314 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,1.9908 ,0.9970 ,59.8173,0.0167,0.0333 ,
2 ,Tree,36.667,< 100,Urea,urea,6570 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.249 ,-3.562 ,2.313 ,0.000 ,-2.313 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,1.9906 ,0.9969 ,59.8120,0.0167,0.0333 ,
2 ,Tree,36.316,< 100,Urea,urea,6935 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.520 ,-3.156 ,1.635 ,0.000 ,-1.635 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,1.4073 ,0.8317 ,49.9025,0.0200,0.0282 ,
2 ,Tree,36.000,< 100,Urea,urea,7300 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.385 ,-4.212 ,2.828 ,0.000 ,-2.828 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,2.4332 ,1.1600 ,69.6023,0.0144,0.0350 ,
2 ,Tree,120.000 ,100-200,Urea,urea,365 ,< 3 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.395 ,-0.339 ,-1.056 ,0.000 ,1.056 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,-0.9091 ,0.7355 ,44.1322,0.0227,-0.0206 ,
2 ,Tree,120.000 ,100-200,Urea,urea,730 ,< 3 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.907 ,0.014 ,-0.921 ,0.000 ,0.921 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,-0.7925 ,0.7190 ,43.1406,0.0232,-0.0184 ,
2 ,Tree,120.000 ,100-200,Urea,urea,1095 ,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.014 ,0.014 ,-0.027 ,0.000 ,0.027 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,-0.0233 ,0.6667 ,40.0027,0.0250,-0.0006 ,
2 ,Tree,110.000 ,100-200,Urea,urea,1460 ,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,1.422 ,-0.637 ,2.059 ,0.000 ,-2.059 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,1.7716 ,0.9282 ,55.6921,0.0180,0.0318 ,
2 ,Tree,104.000 ,100-200,Urea,urea,1825 ,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,1.801 ,-0.718 ,2.519 ,0.000 ,-2.519 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,2.1678 ,1.0583 ,63.4973,0.0157,0.0341 ,
2 ,Tree,100.000 ,100-200,Urea,urea,2190 ,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,1.937 ,-1.124 ,3.061 ,0.000 ,-3.061 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,2.6340 ,1.2448 ,74.6903,0.0134,0.0353 ,
2 ,Tree,94.286 ,< 100,Urea,urea,2555 ,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,3.481 ,-1.233 ,4.713 ,0.000 ,-4.713 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,4.0559 ,2.0376 ,122.2531,0.0082,0.0332 ,
2 ,Tree,90.000 ,< 100,Urea,urea,2920 ,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,2.181 ,-1.395 ,3.576 ,0.000 ,-3.576 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,3.0769 ,1.4556 ,87.3370,0.0114,0.0352 ,
2 ,Tree,86.667 ,< 100,Urea,urea,3285 ,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,2.154 ,-2.154 ,4.307 ,0.000 ,-4.307 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,3.7063 ,1.8114 ,108.6828,0.0092,0.0341 ,
2 ,Tree,84.000 ,< 100,Urea,urea,3650 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,1.666 ,-2.397 ,4.063 ,0.000 ,-4.063 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,3.4965 ,1.6855 ,101.1272,0.0099,0.0346 ,
