study_id,ecosystem/vegetation type,N addition (kg N ha-1 y-1),addition simplify,Fertilizer type,Fertilizer type simplify,Duration (days),Duration simplify,Species,Needle/broadleaf,C3/C4,Legume/non-legume,Deciduous/evergreen,Organ,Organ simplify 1,Organ simplify 2,mean_trt,mean_ctrl,Δ1,δ15N of fertilizer ‰,Δ2,,SD_trt,SD_ctrl,N_trt,N_ctrl,N,J,S,Hedages d,Vd,Vd*n,w',d',
2 ,Tree,108.947 ,100-200,Urea,urea,6935 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,5.512 ,-3.156 ,8.668 ,0.000 ,-8.668 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,7.4592 ,5.3033 ,318.1981,0.0031,0.0234 ,
2 ,Tree,108.000 ,100-200,Urea,urea,7300 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,5.269 ,-4.212 ,9.481 ,0.000 ,-9.481 ,,1.020 ,0.829 ,3.000 ,3.000 ,60.000 ,0.8000 ,0.9297 ,8.1585 ,6.2134 ,372.8045,0.0027,0.0219 ,
4 ,Tree,60.000 ,< 100,Mixed,mixed,40 ,< 3 yr,Prunus persica (L.),broadleaf,C4,non-N-fixing,deciduous,leaf,leaf,above ground,-2.750 ,-3.010 ,0.260 ,,,,0.220 ,0.180 ,4.000 ,4.000 ,6.000 ,0.8696 ,0.2010 ,1.1248 ,0.5791 ,3.4745,0.2878,0.3237 ,
4 ,Tree,120.000 ,100-200,Mixed,mixed,40 ,< 3 yr,Prunus persica (L.),broadleaf,C4,non-N-fixing,deciduous,leaf,leaf,above ground,-2.760 ,-3.010 ,0.250 ,,,,0.220 ,0.220 ,4.000 ,4.000 ,6.000 ,0.8696 ,0.2200 ,0.9881 ,0.5610 ,3.3662,0.2971,0.2936 ,
4 ,Tree,60.000 ,< 100,Mixed,mixed,40 ,< 3 yr,Prunus persica (L.),broadleaf,C4,non-N-fixing,deciduous,mesocarp,fruit,above ground,-0.560 ,-0.490 ,-0.070 ,,,,0.220 ,0.200 ,4.000 ,4.000 ,6.000 ,0.8696 ,0.2102 ,-0.2895 ,0.5052 ,3.0314,0.3299,-0.0955 ,
4 ,Tree,120.000 ,100-200,Mixed,mixed,40 ,< 3 yr,Prunus persica (L.),broadleaf,C4,non-N-fixing,deciduous,mesocarp,fruit,above ground,-0.280 ,-0.490 ,0.210 ,,,,0.180 ,0.200 ,4.000 ,4.000 ,6.000 ,0.8696 ,0.1903 ,0.9598 ,0.5576 ,3.3454,0.2989,0.2869 ,
4 ,Tree,60.000 ,< 100,Mixed,mixed,40 ,< 3 yr,Prunus persica (L.),broadleaf,C4,non-N-fixing,deciduous,endocarp,fruit,above ground,-0.490 ,-0.490 ,0.000 ,,,,0.260 ,0.220 ,4.000 ,4.000 ,6.000 ,0.8696 ,0.2408 ,0.0000 ,0.5000 ,3.0000,0.3333,0.0000 ,
4 ,Tree,120.000 ,100-200,Mixed,mixed,40 ,< 3 yr,Prunus persica (L.),broadleaf,C4,non-N-fixing,deciduous,endocarp,fruit,above ground,-0.590 ,-0.490 ,-0.100 ,,,,0.180 ,0.220 ,4.000 ,4.000 ,6.000 ,0.8696 ,0.2010 ,-0.4326 ,0.5117 ,3.0702,0.3257,-0.1409 ,
6 ,Tree,237.000 ,>= 200,,,231 ,< 3 yr,Maytenus senegalensis,broadleaf,C3,non-N-fixing,deciduous,leaf,leaf,above ground,4.157 ,7.231 ,-3.074 ,-2.470 ,0.604 ,,1.020 ,0.829 ,3.000 ,3.000 ,18.000 ,0.8000 ,0.9297 ,-2.6453 ,1.2498 ,22.4968,0.0445,-0.1176 ,
6 ,Tree,237.000 ,>= 200,,,231 ,< 3 yr,Maytenus senegalensis,broadleaf,C3,non-N-fixing,deciduous,leaf,leaf,above ground,2.488 ,4.116 ,-1.629 ,-2.470 ,-0.841 ,,1.020 ,0.829 ,3.000 ,3.000 ,18.000 ,0.8000 ,0.9297 ,-1.4015 ,0.8304 ,14.9463,0.0669,-0.0938 ,
6 ,Tree,237.000 ,>= 200,,,231 ,< 3 yr,Maytenus senegalensis,broadleaf,C3,non-N-fixing,deciduous,leaf,leaf,above ground,1.307 ,3.954 ,-2.647 ,-2.470 ,0.177 ,,1.020 ,0.829 ,3.000 ,3.000 ,18.000 ,0.8000 ,0.9297 ,-2.2775 ,1.0989 ,19.7802,0.0506,-0.1151 ,
6 ,Tree,237.000 ,>= 200,,,231 ,< 3 yr,Maytenus heterophylla,broadleaf,C3,non-N-fixing,deciduous,leaf,leaf,above ground,3.709 ,8.147 ,-4.438 ,-2.470 ,1.968 ,,1.020 ,0.829 ,3.000 ,3.000 ,18.000 ,0.8000 ,0.9297 ,-3.8191 ,1.8821 ,33.8784,0.0295,-0.1127 ,
6 ,Tree,237.000 ,>= 200,,,231 ,< 3 yr,Maytenus heterophylla,broadleaf,C3,non-N-fixing,deciduous,leaf,leaf,above ground,1.205 ,2.793 ,-1.588 ,-2.470 ,-0.882 ,,1.020 ,0.829 ,3.000 ,3.000 ,18.000 ,0.8000 ,0.9297 ,-1.3665 ,0.8223 ,14.8009,0.0676,-0.0923 ,
6 ,Tree,237.000 ,>= 200,,,231 ,< 3 yr,Maytenus heterophylla,broadleaf,C3,non-N-fixing,deciduous,leaf,leaf,above ground,0.594 ,3.241 ,-2.647 ,-2.470 ,0.177 ,,1.020 ,0.829 ,3.000 ,3.000 ,18.000 ,0.8000 ,0.9297 ,-2.2774 ,1.0989 ,19.7802,0.0506,-0.1151 ,
6 ,Tree,237.000 ,>= 200,,,231 ,< 3 yr,Euclea divinorum,broadleaf,C3,non-N-fixing,evergreen,leaf,leaf,above ground,1.226 ,5.134 ,-3.909 ,-2.470 ,1.439 ,,1.020 ,0.829 ,3.000 ,3.000 ,18.000 ,0.8000 ,0.9297 ,-3.3636 ,1.6095 ,28.9709,0.0345,-0.1161 ,
6 ,Tree,237.000 ,>= 200,,,231 ,< 3 yr,Euclea divinorum,broadleaf,C3,non-N-fixing,evergreen,leaf,leaf,above ground,0.391 ,3.282 ,-2.891 ,-2.470 ,0.421 ,,1.020 ,0.829 ,3.000 ,3.000 ,18.000 ,0.8000 ,0.9297 ,-2.4877 ,1.1824 ,21.2828,0.0470,-0.1169 ,
6 ,Tree,237.000 ,>= 200,,,231 ,< 3 yr,Euclea divinorum,broadleaf,C3,non-N-fixing,evergreen,leaf,leaf,above ground,0.208 ,2.325 ,-2.117 ,-2.470 ,-0.353 ,,1.020 ,0.829 ,3.000 ,3.000 ,18.000 ,0.8000 ,0.9297 ,-1.8220 ,0.9433 ,16.9793,0.0589,-0.1073 ,
6 ,Tree,237.000 ,>= 200,,,231 ,< 3 yr,Ziziphus mucronata,broadleaf,C3,non-N-fixing,deciduous,leaf,leaf,above ground,2.447 ,5.908 ,-3.461 ,-2.470 ,0.991 ,,1.020 ,0.829 ,3.000 ,3.000 ,18.000 ,0.8000 ,0.9297 ,-2.9782 ,1.4058 ,25.3046,0.0395,-0.1177 ,
6 ,Tree,237.000 ,>= 200,,,231 ,< 3 yr,Ziziphus mucronata,broadleaf,C3,non-N-fixing,deciduous,leaf,leaf,above ground,1.409 ,2.752 ,-1.344 ,-2.470 ,-1.126 ,,1.020 ,0.829 ,3.000 ,3.000 ,18.000 ,0.8000 ,0.9297 ,-1.1562 ,0.7781 ,14.0054,0.0714,-0.0826 ,
6 ,Tree,237.000 ,>= 200,,,231 ,< 3 yr,Ziziphus mucronata,broadleaf,C3,non-N-fixing,deciduous,leaf,leaf,above ground,-0.688 ,2.203 ,-2.891 ,-2.470 ,0.421 ,,1.020 ,0.829 ,3.000 ,3.000 ,18.000 ,0.8000 ,0.9297 ,-2.4877 ,1.1824 ,21.2828,0.0470,-0.1169 ,
6 ,Tree,237.000 ,>= 200,,,231 ,< 3 yr,Schotia brachypetala,broadleaf,C3,non-N-fixing,deciduous,leaf,leaf,above ground,1.673 ,5.277 ,-3.603 ,-2.470 ,1.133 ,,1.020 ,0.829 ,3.000 ,3.000 ,18.000 ,0.8000 ,0.9297 ,-3.1008 ,1.4679 ,26.4228,0.0378,-0.1174 ,
6 ,Tree,237.000 ,>= 200,,,231 ,< 3 yr,Schotia brachypetala,broadleaf,C3,non-N-fixing,deciduous,leaf,leaf,above ground,0.676 ,4.340 ,-3.664 ,-2.470 ,1.194 ,,1.020 ,0.829 ,3.000 ,3.000 ,18.000 ,0.8000 ,0.9297 ,-3.1534 ,1.4953 ,26.9158,0.0372,-0.1172 ,
6 ,Tree,237.000 ,>= 200,,,231 ,< 3 yr,Schotia brachypetala,broadleaf,C3,non-N-fixing,deciduous,leaf,leaf,above ground,-0.403 ,4.605 ,-5.008 ,-2.470 ,2.538 ,,1.020 ,0.829 ,3.000 ,3.000 ,18.000 ,0.8000 ,0.9297 ,-4.3096 ,2.2144 ,39.8595,0.0251,-0.1081 ,
6 ,Tree,237.000 ,>= 200,,,231 ,< 3 yr,Acacia karroo (legume),broadleaf,C3,N-fixing,deciduous,leaf,leaf,above ground,4.239 ,7.313 ,-3.074 ,-2.470 ,0.604 ,,1.020 ,0.829 ,3.000 ,3.000 ,18.000 ,0.8000 ,0.9297 ,-2.6453 ,1.2498 ,22.4968,0.0445,-0.1176 ,
6 ,Tree,237.000 ,>= 200,,,231 ,< 3 yr,Acacia karroo (legume),broadleaf,C3,N-fixing,deciduous,leaf,leaf,above ground,1.511 ,-0.525 ,2.036 ,-2.470 ,-4.506 ,,1.020 ,0.829 ,3.000 ,3.000 ,18.000 ,0.8000 ,0.9297 ,1.7519 ,0.9224 ,16.6037,0.0602,0.1055 ,
6 ,Tree,237.000 ,>= 200,,,231 ,< 3 yr,Acacia karroo (legume),broadleaf,C3,N-fixing,deciduous,leaf,leaf,above ground,0.289 ,-0.240 ,0.529 ,-2.470 ,-2.999 ,,1.020 ,0.829 ,3.000 ,3.000 ,18.000 ,0.8000 ,0.9297 ,0.4555 ,0.6840 ,12.3112,0.0812,0.0370 ,
7 ,Tree,34.524 ,< 100,,,15330 , > 10 yr,Picea abies Karst.,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.000 ,-3.700 ,2.700 ,,,,0.300 ,0.300 ,2.000 ,2.000 ,21.000 ,0.5714 ,0.3000 ,5.1429 ,4.3061 ,90.4286,0.0111,0.0569 ,
7 ,Tree,41.905 ,< 100,,,15330 , > 10 yr,Picea abies Karst.,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-2.600 ,-3.700 ,1.100 ,,,,0.300 ,0.300 ,2.000 ,2.000 ,21.000 ,0.5714 ,0.3000 ,2.0952 ,1.5488 ,32.5238,0.0307,0.0644 ,
7 ,Tree,67.143 ,< 100,,,15330 , > 10 yr,Picea abies Karst.,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-3.300 ,-3.700 ,0.400 ,,,,0.600 ,0.300 ,2.000 ,2.000 ,21.000 ,0.5714 ,0.4743 ,0.4819 ,1.0290 ,21.6095,0.0463,0.0223 ,
7 ,Tree,37.917 ,< 100,,,8760 , > 10 yr,Picea abies Karst.,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-2.323 ,-4.645 ,2.323 ,,,,0.182 ,0.137 ,2.000 ,2.000 ,21.000 ,0.5714 ,0.1613 ,8.2288 ,9.4641 ,198.7466,0.0050,0.0414 ,
7 ,Tree,73.333 ,< 100,,,8760 , > 10 yr,Picea abies Karst.,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-2.065 ,-5.000 ,2.935 ,,,,0.867 ,0.958 ,2.000 ,2.000 ,21.000 ,0.5714 ,0.9135 ,1.8362 ,1.4214 ,29.8503,0.0335,0.0615 ,
7 ,Tree,113.750 ,100-200,,,8760 , > 10 yr,Picea abies Karst.,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.968 ,-5.000 ,3.032 ,,,,0.137 ,0.182 ,2.000 ,2.000 ,21.000 ,0.5714 ,0.1613 ,10.7432 ,15.4269 ,323.9652,0.0031,0.0332 ,
7 ,Tree,37.600 ,< 100,,,9125 , > 10 yr,Picea abies Karst.,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-2.000 ,-4.774 ,2.774 ,,,,0.137 ,0.137 ,2.000 ,2.000 ,21.000 ,0.5714 ,0.1369 ,11.5836 ,17.7724 ,373.2201,0.0027,0.0310 ,
7 ,Tree,70.400 ,< 100,,,9125 , > 10 yr,Picea abies Karst.,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.548 ,-4.645 ,3.097 ,,,,0.182 ,0.137 ,2.000 ,2.000 ,21.000 ,0.5714 ,0.1613 ,10.9712 ,16.0458 ,336.9619,0.0030,0.0326 ,
7 ,Tree,112.800 ,100-200,,,9125 , > 10 yr,Picea abies Karst.,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.161 ,-3.903 ,2.742 ,,,,0.411 ,0.137 ,2.000 ,2.000 ,21.000 ,0.5714 ,0.3060 ,5.1199 ,4.2766 ,89.8092,0.0111,0.0570 ,
7 ,Tree,37.308 ,< 100,,,9494 , > 10 yr,Picea abies Karst.,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.548 ,-4.645 ,4.097 ,,,,0.228 ,0.137 ,2.000 ,2.000 ,21.000 ,0.5714 ,0.1881 ,12.4461 ,20.3630 ,427.6237,0.0023,0.0291 ,
7 ,Tree,67.692 ,< 100,,,9494 , > 10 yr,Picea abies Karst.,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.871 ,-5.000 ,4.129 ,,,,0.274 ,0.958 ,2.000 ,2.000 ,21.000 ,0.5714 ,0.7045 ,3.3490 ,2.4020 ,50.4411,0.0198,0.0664 ,
7 ,Tree,108.462 ,100-200,,,9494 , > 10 yr,Picea abies Karst.,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.774 ,-5.000 ,4.226 ,,,,0.228 ,0.182 ,2.000 ,2.000 ,21.000 ,0.5714 ,0.2066 ,11.6908 ,18.0843 ,379.7695,0.0026,0.0308 ,
7 ,Tree,37.037 ,< 100,,,9855 , > 10 yr,Picea abies Karst.,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.129 ,-4.774 ,3.645 ,,,,0.228 ,0.137 ,2.000 ,2.000 ,21.000 ,0.5714 ,0.1881 ,11.0741 ,16.3296 ,342.9215,0.0029,0.0323 ,
7 ,Tree,65.185 ,< 100,,,9855 , > 10 yr,Picea abies Karst.,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.516 ,-4.645 ,4.129 ,,,,0.547 ,0.137 ,2.000 ,2.000 ,21.000 ,0.5714 ,0.3990 ,5.9133 ,5.3708 ,112.7874,0.0089,0.0524 ,
7 ,Tree,104.444 ,100-200,,,9855 , > 10 yr,Picea abies Karst.,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-2.742 ,-3.903 ,1.161 ,,,,0.365 ,0.137 ,2.000 ,2.000 ,21.000 ,0.5714 ,0.2756 ,2.4076 ,1.7246 ,36.2164,0.0276,0.0665 ,
7 ,Tree,36.552 ,< 100,,,10585 , > 10 yr,Picea abies Karst.,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.839 ,-4.645 ,3.806 ,,,,0.456 ,0.137 ,2.000 ,2.000 ,21.000 ,0.5714 ,0.3368 ,6.4585 ,6.2140 ,130.4946,0.0077,0.0495 ,
7 ,Tree,60.690 ,< 100,,,10585 , > 10 yr,Picea abies Karst.,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,0.000 ,-5.000 ,5.000 ,,,,0.274 ,0.958 ,2.000 ,2.000 ,21.000 ,0.5714 ,0.7045 ,4.0554 ,3.0558 ,64.1717,0.0156,0.0632 ,
7 ,Tree,97.241 ,< 100,,,10585 , > 10 yr,Picea abies Karst.,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.613 ,-5.000 ,4.387 ,,,,0.228 ,0.182 ,2.000 ,2.000 ,21.000 ,0.5714 ,0.2066 ,12.1370 ,19.4134 ,407.6822,0.0025,0.0298 ,
7 ,Tree,34.524 ,< 100,,,15330 , > 10 yr,Picea abies Karst.,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.871 ,-4.774 ,3.903 ,,,,0.502 ,0.137 ,2.000 ,2.000 ,21.000 ,0.5714 ,0.3678 ,6.0642 ,5.5969 ,117.5343,0.0085,0.0516 ,
7 ,Tree,41.905 ,< 100,,,15330 , > 10 yr,Picea abies Karst.,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.516 ,-4.645 ,3.129 ,,,,0.137 ,0.137 ,2.000 ,2.000 ,21.000 ,0.5714 ,0.1369 ,13.0645 ,22.3352 ,469.0395,0.0021,0.0279 ,
7 ,Tree,67.143 ,< 100,,,15330 , > 10 yr,Picea abies Karst.,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-3.484 ,-3.903 ,0.419 ,,,,0.912 ,0.137 ,2.000 ,2.000 ,21.000 ,0.5714 ,0.6524 ,0.3673 ,1.0169 ,21.3542,0.0468,0.0172 ,
9 ,Tree,200.000 ,>= 200,Urea,urea,90 ,< 3 yr,Picea glauca,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.200 ,-0.300 ,0.100 ,-0.870 ,-0.970 ,-1.920 ,0.346 ,0.866 ,3.000 ,3.000 ,2.000 ,0.8000 ,0.6595 ,0.1213 ,0.6679 ,1.3358,0.7486,0.0908 ,
9 ,Tree,200.000 ,>= 200,Urea,urea,435 ,< 3 yr,Picea glauca,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.800 ,-2.800 ,2.000 ,-0.870 ,-2.870 ,,0.520 ,0.693 ,3.000 ,3.000 ,2.000 ,0.8000 ,0.6124 ,2.6128 ,1.2356 ,2.4711,0.4047,1.0573 ,
12 ,Tree,60.000 ,< 100,NH4NO3,NH4NO3,365 ,< 3 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.519 ,0.399 ,-0.917 ,,,,1.020 ,0.829 ,3.000 ,3.000 ,99.000 ,0.8000 ,0.9297 ,-0.7895 ,0.7186 ,71.1418,0.0141,-0.0111 ,
12 ,Tree,60.000 ,< 100,NH4NO3,NH4NO3,730 ,< 3 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.632 ,0.210 ,-0.842 ,,,,1.020 ,0.829 ,3.000 ,3.000 ,99.000 ,0.8000 ,0.9297 ,-0.7246 ,0.7104 ,70.3313,0.0142,-0.0103 ,
12 ,Tree,60.000 ,< 100,NH4NO3,NH4NO3,1095 ,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.732 ,0.612 ,-1.345 ,,,,1.020 ,0.829 ,3.000 ,3.000 ,99.000 ,0.8000 ,0.9297 ,-1.1572 ,0.7783 ,77.0468,0.0130,-0.0150 ,
12 ,Tree,55.000 ,< 100,NH4NO3,NH4NO3,1460 ,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.506 ,0.298 ,-0.804 ,,,,1.020 ,0.829 ,3.000 ,3.000 ,99.000 ,0.8000 ,0.9297 ,-0.6921 ,0.7066 ,69.9521,0.0143,-0.0099 ,
12 ,Tree,52.000 ,< 100,NH4NO3,NH4NO3,1825 ,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.205 ,-0.192 ,-0.013 ,,,,1.020 ,0.829 ,3.000 ,3.000 ,99.000 ,0.8000 ,0.9297 ,-0.0108 ,0.6667 ,66.0010,0.0152,-0.0002 ,
12 ,Tree,50.000 ,< 100,NH4NO3,NH4NO3,2190 ,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.494 ,-0.092 ,-0.402 ,,,,1.020 ,0.829 ,3.000 ,3.000 ,99.000 ,0.8000 ,0.9297 ,-0.3461 ,0.6766 ,66.9880,0.0149,-0.0052 ,
12 ,Tree,47.143 ,< 100,NH4NO3,NH4NO3,2555 ,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.682 ,0.084 ,-0.767 ,,,,1.020 ,0.829 ,3.000 ,3.000 ,99.000 ,0.8000 ,0.9297 ,-0.6597 ,0.7029 ,69.5903,0.0144,-0.0095 ,
12 ,Tree,45.000 ,< 100,NH4NO3,NH4NO3,2920 ,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.311 ,-0.406 ,-0.905 ,,,,1.020 ,0.829 ,3.000 ,3.000 ,99.000 ,0.8000 ,0.9297 ,-0.7786 ,0.7172 ,71.0019,0.0141,-0.0110 ,
12 ,Tree,43.333 ,< 100,NH4NO3,NH4NO3,3285 ,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.197 ,-0.393 ,-0.804 ,,,,1.020 ,0.829 ,3.000 ,3.000 ,99.000 ,0.8000 ,0.9297 ,-0.6921 ,0.7066 ,69.9521,0.0143,-0.0099 ,
12 ,Tree,42.000 ,< 100,NH4NO3,NH4NO3,3650 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.499 ,-1.009 ,-0.490 ,,,,1.020 ,0.829 ,3.000 ,3.000 ,99.000 ,0.8000 ,0.9297 ,-0.4218 ,0.6815 ,67.4675,0.0148,-0.0063 ,
12 ,Tree,40.909 ,< 100,NH4NO3,NH4NO3,4015 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.399 ,-1.499 ,0.101 ,,,,1.020 ,0.829 ,3.000 ,3.000 ,99.000 ,0.8000 ,0.9297 ,0.0865 ,0.6673 ,66.0618,0.0151,0.0013 ,
12 ,Tree,40.000 ,< 100,NH4NO3,NH4NO3,4380 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.084 ,-1.210 ,0.126 ,,,,1.020 ,0.829 ,3.000 ,3.000 ,99.000 ,0.8000 ,0.9297 ,0.1081 ,0.6676 ,66.0965,0.0151,0.0016 ,
12 ,Tree,39.231 ,< 100,NH4NO3,NH4NO3,4745 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.487 ,-1.600 ,0.113 ,,,,1.020 ,0.829 ,3.000 ,3.000 ,99.000 ,0.8000 ,0.9297 ,0.0973 ,0.6675 ,66.0781,0.0151,0.0015 ,
12 ,Tree,38.571 ,< 100,NH4NO3,NH4NO3,5110 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-2.002 ,-1.788 ,-0.214 ,,,,1.020 ,0.829 ,3.000 ,3.000 ,99.000 ,0.8000 ,0.9297 ,-0.1839 ,0.6695 ,66.2789,0.0151,-0.0028 ,
12 ,Tree,38.000 ,< 100,NH4NO3,NH4NO3,5475 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.600 ,-2.316 ,0.716 ,,,,1.020 ,0.829 ,3.000 ,3.000 ,99.000 ,0.8000 ,0.9297 ,0.6164 ,0.6983 ,69.1349,0.0145,0.0089 ,
12 ,Tree,37.500 ,< 100,NH4NO3,NH4NO3,5840 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.801 ,-2.429 ,0.628 ,,,,1.020 ,0.829 ,3.000 ,3.000 ,99.000 ,0.8000 ,0.9297 ,0.5407 ,0.6910 ,68.4121,0.0146,0.0079 ,
12 ,Tree,37.059 ,< 100,NH4NO3,NH4NO3,6205 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.386 ,-2.316 ,0.930 ,,,,1.020 ,0.829 ,3.000 ,3.000 ,99.000 ,0.8000 ,0.9297 ,0.8003 ,0.7200 ,71.2836,0.0140,0.0112 ,
12 ,Tree,36.667 ,< 100,NH4NO3,NH4NO3,6570 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.110 ,-2.102 ,0.993 ,,,,1.020 ,0.829 ,3.000 ,3.000 ,99.000 ,0.8000 ,0.9297 ,0.8543 ,0.7275 ,72.0216,0.0139,0.0119 ,
12 ,Tree,36.316 ,< 100,NH4NO3,NH4NO3,6935 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.607 ,-1.801 ,1.194 ,,,,1.020 ,0.829 ,3.000 ,3.000 ,99.000 ,0.8000 ,0.9297 ,1.0274 ,0.7546 ,74.7080,0.0134,0.0138 ,
12 ,Tree,36.000 ,< 100,NH4NO3,NH4NO3,7300 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.519 ,-1.688 ,1.169 ,,,,1.020 ,0.829 ,3.000 ,3.000 ,99.000 ,0.8000 ,0.9297 ,1.0057 ,0.7510 ,74.3451,0.0135,0.0135 ,
12 ,Tree,35.455 ,< 100,NH4NO3,NH4NO3,8030 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.607 ,-2.203 ,1.596 ,,,,1.020 ,0.829 ,3.000 ,3.000 ,99.000 ,0.8000 ,0.9297 ,1.3734 ,0.8239 ,81.5623,0.0123,0.0168 ,
12 ,Tree,35.217 ,< 100,NH4NO3,NH4NO3,8395 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.210 ,-2.404 ,1.194 ,,,,1.020 ,0.829 ,3.000 ,3.000 ,99.000 ,0.8000 ,0.9297 ,1.0274 ,0.7546 ,74.7080,0.0134,0.0138 ,
12 ,Tree,35.000 ,< 100,NH4NO3,NH4NO3,8760 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.607 ,-2.316 ,1.709 ,,,,1.020 ,0.829 ,3.000 ,3.000 ,99.000 ,0.8000 ,0.9297 ,1.4708 ,0.8469 ,83.8462,0.0119,0.0175 ,
12 ,Tree,34.800 ,< 100,NH4NO3,NH4NO3,9125 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.205 ,-1.713 ,1.508 ,,,,1.020 ,0.829 ,3.000 ,3.000 ,99.000 ,0.8000 ,0.9297 ,1.2977 ,0.8070 ,79.8942,0.0125,0.0162 ,
12 ,Tree,34.615 ,< 100,NH4NO3,NH4NO3,9490 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,0.223 ,-2.014 ,2.237 ,,,,1.020 ,0.829 ,3.000 ,3.000 ,99.000 ,0.8000 ,0.9297 ,1.9250 ,0.9755 ,96.5708,0.0104,0.0199 ,
12 ,Tree,34.444 ,< 100,NH4NO3,NH4NO3,9855 , > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.217 ,-1.411 ,1.194 ,,,,1.020 ,0.829 ,3.000 ,3.000 ,99.000 ,0.8000 ,0.9297 ,1.0274 ,0.7546 ,74.7079,0.0134,0.0138 ,
