study_id,ecosystem_veg,N addition,addition simplify,Fertilizer type,Fertilizer type simplify,Duration_days,Duration simplify,Species,Needle_broadleaf,C3_C4,Legume_non-legume,Deciduous_evergreen,Organ,Organ simplify 1,Organ simplify 2,1,15N of fertilizer,2,NA,mean_trt,mean_ctrl,SD_trt,SD_ctrl,N_trt,N_ctrl,N,J,S,HedagesD,Vd,VdN,w,d
2,Tree,37.059,< 100,Urea,urea,6205, > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,2.314,0,-2.314,NA,-1.113,-3.427,1.02,0.829,3,3,60,0.8,0.9297,1.9908,0.997,59.8173,0.0167,0.0333
2,Tree,36.667,< 100,Urea,urea,6570, > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,2.313,0,-2.313,NA,-1.249,-3.562,1.02,0.829,3,3,60,0.8,0.9297,1.9906,0.9969,59.812,0.0167,0.0333
2,Tree,36.316,< 100,Urea,urea,6935, > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,1.635,0,-1.635,NA,-1.52,-3.156,1.02,0.829,3,3,60,0.8,0.9297,1.4073,0.8317,49.9025,0.02,0.0282
2,Tree,36,< 100,Urea,urea,7300, > 10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,2.828,0,-2.828,NA,-1.385,-4.212,1.02,0.829,3,3,60,0.8,0.9297,2.4332,1.16,69.6023,0.0144,0.035
2,Tree,120,100-200,Urea,urea,365,< 3 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-1.056,0,1.056,NA,-1.395,-0.339,1.02,0.829,3,3,60,0.8,0.9297,-0.9091,0.7355,44.1322,0.0227,-0.0206
2,Tree,120,100-200,Urea,urea,730,< 3 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.921,0,0.921,NA,-0.907,0.014,1.02,0.829,3,3,60,0.8,0.9297,-0.7925,0.719,43.1406,0.0232,-0.0184
2,Tree,120,100-200,Urea,urea,1095,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,-0.027,0,0.027,NA,-0.014,0.014,1.02,0.829,3,3,60,0.8,0.9297,-0.0233,0.6667,40.0027,0.025,-0.0006
2,Tree,110,100-200,Urea,urea,1460,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,2.059,0,-2.059,NA,1.422,-0.637,1.02,0.829,3,3,60,0.8,0.9297,1.7716,0.9282,55.6921,0.018,0.0318
2,Tree,104,100-200,Urea,urea,1825,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,2.519,0,-2.519,NA,1.801,-0.718,1.02,0.829,3,3,60,0.8,0.9297,2.1678,1.0583,63.4973,0.0157,0.0341
2,Tree,100,100-200,Urea,urea,2190,3-10 yr,Pinus sylvestris,needle,C3,non-N-fixing,evergreen,leaf,leaf,above ground,3.061,0,-3.061,NA,1.937,-1.124,1.02,0.829,3,3,60,0.8,0.9297,2.634,1.2448,74.6903,0.0134,0.0353
